band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,2234.422000,,,
band1,level,4,1,5297.322000,,,
band1,level,6,1,8624.070000,,,
band1,transition,,,,2_1,0_1,4.960140
band1,transition,,,,4_1,2_1,10.078283
band1,transition,,,,6_1,4_1,16.587727
band2,level,0,2,3391.869000,,,
band2,level,2,3,5831.796000,,,
band2,level,4,3,8942.071000,,,
band2,level,6,4,12666.892000,,,
band2,transition,,,,2_3,0_2,6.258262
band2,transition,,,,4_3,2_3,12.602962
band2,transition,,,,6_4,4_3,17.632607
band3,level,2,2,4124.883000,,,
band3,level,3,1,7216.461000,,,
band3,transition,,,,3_1,2_2,6.996951
interband,transition,,,,2_2,0_1,0.409188
interband,transition,,,,2_2,2_1,8.630369
interband,transition,,,,2_2,0_2,5.649827
interband,transition,,,,0_2,2_1,9.206741
