band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,295.203000,,,
band1,level,4,1,822.627000,,,
band1,level,6,1,1515.483000,,,
band1,transition,,,,2_1,0_1,65.722068
band1,transition,,,,4_1,2_1,104.518049
band1,transition,,,,6_1,4_1,131.430557
band2,level,0,2,1360.398000,,,
band2,level,2,3,1779.901000,,,
band2,level,4,3,2408.823000,,,
band2,level,6,3,3210.442000,,,
band2,transition,,,,2_3,0_2,68.377981
band2,transition,,,,4_3,2_3,105.813258
band2,transition,,,,6_3,4_3,134.817546
band3,level,2,2,1172.833000,,,
band3,level,3,1,1635.960000,,,
band3,level,4,2,1820.668000,,,
band3,level,5,1,2416.023000,,,
band3,level,6,2,2571.246000,,,
band3,transition,,,,3_1,2_2,88.914524
band3,transition,,,,4_2,2_2,48.523941
band3,transition,,,,5_1,4_2,39.127399
band3,transition,,,,6_2,4_2,95.359317
band3,transition,,,,4_2,3_1,47.182163
band3,transition,,,,6_2,5_1,27.952115
band3,transition,,,,5_1,3_1,69.183100
interband,transition,,,,2_2,0_1,0.850432
interband,transition,,,,2_2,2_1,20.116082
interband,transition,,,,0_2,2_2,45.020178
interband,transition,,,,0_2,2_1,34.984578
