band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1589.728000,,,
band1,level,4,1,3413.402000,,,
band1,level,6,1,5533.387000,,,
band1,transition,,,,2_1,0_1,6.692169
band1,transition,,,,4_1,2_1,14.938030
band1,transition,,,,6_1,4_1,23.027692
band2,level,0,2,3379.879000,,,
band2,level,2,3,5271.979000,,,
band2,level,4,4,7319.770000,,,
band2,level,6,4,9629.494000,,,
band2,transition,,,,2_3,0_2,9.536234
band2,transition,,,,4_4,2_3,17.719506
band2,transition,,,,6_4,4_4,25.471430
band3,level,2,2,3022.080000,,,
band3,level,3,1,4767.058000,,,
band3,level,4,2,4879.145000,,,
band3,level,5,1,6860.782000,,,
band3,level,6,2,7052.974000,,,
band3,transition,,,,3_1,2_2,16.164351
band3,transition,,,,4_2,2_2,11.112017
band3,transition,,,,5_1,4_2,7.488394
band3,transition,,,,6_2,4_2,18.692027
band3,transition,,,,4_2,3_1,1.277491
band3,transition,,,,6_2,5_1,1.045306
band3,transition,,,,5_1,3_1,16.047466
interband,transition,,,,2_2,0_1,0.163504
interband,transition,,,,2_2,2_1,13.662900
interband,transition,,,,0_2,2_2,2.005513
interband,transition,,,,0_2,2_1,20.008470
