Cd94	0.053324  0.055695  0.033486
Cd96	0.054342  0.059175  0.035467
Cd98	0.039365  0.020251  0.030864
Cd100	0.034833  0.021894  0.030825
Cd102	0.062438  0.067982  0.048229
Cd104	0.078921  0.096348  0.048330
Cd106	0.085881  0.155767  0.047129
Cd108	0.088417  0.239218  0.045700
Cd110	0.093373  0.237821  0.071865
Cd112	0.091464  0.142297  0.106419
Cd114	0.085808  0.131828  0.136002
Cd116	0.080850  0.178827  0.154316
Cd118	0.073604  0.146390  0.132221
Cd120	0.066754  0.111923  0.109792
Cd122	0.063640  0.093369  0.087540
Cd124	0.058607  0.085054  0.056713
Cd126	0.051002  0.073008  0.035263
Cd128	0.039179  0.019769  0.019684
Cd130	0.077522  0.047022  0.044432
Cd132	0.031237  0.034319  0.042610
Cd134	0.041069  0.047511  0.054318
Cd136	0.062203  0.077916  0.064679
Cd138	0.082321  0.110628  0.079230
Cd140	0.100147  0.148593  0.096041
Cd142	0.115584  0.201932  0.116723
Cd144	0.127643  0.257483  0.145689
Cd146	0.136436  0.285249  0.187120
Cd148	0.137987  0.274530  0.230662
Cd150	0.132324  0.253249  0.260639
Cd152	0.119676  0.228571  0.274268
Cd154	0.105347  0.202500  0.272661
Cd156	0.095380  0.177833  0.263395
Cd158	0.091440  0.163709  0.249850
Cd160	0.091012  0.166680  0.220382
Cd162	0.089992  0.178291  0.172634
Cd164	0.090557  0.182037  0.127543
Cd166	0.091297  0.139123  0.090825
Cd168	0.090012  0.070135  0.063985
Cd170	0.085365  0.044908  0.060012
Cd172	0.088184  0.049564  0.069422
