nucleus  B(21+ -> 01+)  B(22+ -> 02+)  B(23+ -> 03+)  B(24+ -> 04+)
Cd94	0.053324  0.015088  0.024059  0.004409
Cd96	0.054342  0.004011  0.012147  0.115527
Cd98	0.039365  0.029861  0.041271  0.000201
Cd100	0.034833  0.021325  0.006448  0.001403
Cd102	0.062438  0.004475  0.000439  0.013124
Cd104	0.078921  0.007132  0.011246  0.000002
Cd106	0.085881  0.002395  0.008462  0.012866
Cd108	0.088417  0.000129  0.002759  0.031066
Cd110	0.093373  0.009307  0.002078  0.001188
Cd112	0.091464  0.080592  0.000804  0.001899
Cd114	0.085808  0.101148  0.000268  0.002351
Cd116	0.080850  0.003005  0.025060  0.001239
Cd118	0.073604  0.000050  0.007306  0.003289
Cd120	0.066754  0.002857  0.002617  0.009449
Cd122	0.063640  0.001755  0.003860  0.005066
Cd124	0.058607  0.000057  0.004142  0.000565
Cd126	0.051002  0.000087  0.007515  0.000256
Cd128	0.039179  0.035347  0.022471  0.004090
Cd130	0.077522  0.040537  0.075244  0.008993
Cd132	0.031237  0.012834  0.018281  0.006475
Cd134	0.041069  0.007405  0.015192  0.015669
Cd136	0.062203  0.006614  0.000032  0.004229
Cd138	0.082321  0.008722  0.001153  0.000910
Cd140	0.100147  0.013973  0.009674  0.000055
Cd142	0.115584  0.015728  0.012736  0.001880
Cd144	0.127643  0.012688  0.001984  0.006150
Cd146	0.136436  0.009389  0.001640  0.007166
Cd148	0.137987  0.005166  0.017045  0.001986
Cd150	0.132324  0.004482  0.027703  0.000422
Cd152	0.119676  0.006903  0.029200  0.002394
Cd154	0.105347  0.012663  0.031738  0.007022
Cd156	0.095380  0.018204  0.049563  0.014237
Cd158	0.091440  0.018134  0.084225  0.014254
Cd160	0.091012  0.015454  0.108126  0.008256
Cd162	0.089992  0.018022  0.110142  0.002609
Cd164	0.090557  0.033367  0.095300  0.000371
Cd166	0.091297  0.085143  0.074974  0.000018
Cd168	0.090012  0.141796  0.059513  0.000231
Cd170	0.085365  0.130091  0.052419  0.047131
Cd172	0.088184  0.116695  0.060539  0.002021
nucleus  B(21+ -> 01+)  B(23+ -> 02+)  B(22+ -> 21+)
