band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1255.212000,,,
band1,level,4,1,2423.520000,,,
band1,level,6,1,3609.492000,,,
band1,transition,,,,2_1,0_1,15.520205
band1,transition,,,,4_1,2_1,39.054822
band1,transition,,,,6_1,4_1,64.106150
band2,level,0,2,2039.841000,,,
band2,level,2,2,2922.288000,,,
band2,level,4,2,4156.276000,,,
band2,level,6,2,5433.354000,,,
band2,transition,,,,2_2,0_2,20.538187
band2,transition,,,,4_2,2_2,40.852647
band2,transition,,,,6_2,4_2,68.139780
band3,level,2,3,3497.215000,,,
band3,level,3,1,4193.857000,,,
band3,level,4,3,4568.243000,,,
band3,level,5,1,5153.952000,,,
band3,level,6,3,5510.830000,,,
band3,transition,,,,3_1,2_3,37.139733
band3,transition,,,,4_3,2_3,34.739621
band3,transition,,,,5_1,4_3,33.013618
band3,transition,,,,6_3,4_3,80.700643
band3,transition,,,,4_3,3_1,49.267260
band3,transition,,,,6_3,5_1,38.882750
band3,transition,,,,5_1,3_1,54.371613
interband,transition,,,,2_3,0_1,0.042344
interband,transition,,,,2_3,2_1,3.048073
interband,transition,,,,2_3,0_2,8.723265
interband,transition,,,,0_2,2_1,58.563711
