nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Cd94	1.150697  2.594229  2.812244  3.738885  4.603271  4.464626  5.502654  5.609312
Cd96	1.130955  2.489056  2.942059  3.929136  5.736646  5.031591  6.220194  6.298939
Cd98	2.187568  4.258644  3.652995  5.058149  6.535105  6.108356  7.021755  7.923253
Cd100	1.644563  3.315270  2.434661  3.876299  4.810472  4.684105  5.752372  6.256458
Cd102	0.932443  2.155621  2.256265  2.465868  3.919172  3.646039  4.621159  4.872406
Cd104	0.778500  1.964689  2.410296  2.201500  3.045659  3.437401  4.406515  4.100188
Cd106	0.736792  1.871760  2.387565  2.127571  2.776120  3.072686  3.985664  3.804191
Cd108	0.728414  1.858693  2.105415  2.135593  2.675781  2.532548  3.477820  3.565246
Cd110	0.755012  1.814214  1.651811  1.882810  2.354248  2.099942  3.012267  3.134382
Cd112	0.835231  1.780838  1.307194  1.684248  2.091320  1.880835  2.770181  2.702360
Cd114	0.912283  1.813862  1.264229  1.617039  1.926335  1.849994  2.774235  2.523478
Cd116	0.985557  2.015190  1.479685  1.789705  2.081351  2.103405  2.899038  2.848638
Cd118	1.089249  2.243722  1.751598  2.047714  2.585180  2.542791  3.146378  3.315056
Cd120	1.190788  2.493236  2.161698  2.379260  3.333090  3.166624  3.767445  3.974615
Cd122	1.212647  2.616441  2.606439  2.602158  3.988691  3.806588  4.551471  4.721240
Cd124	1.237373  2.722110  3.085335  2.967520  4.397910  4.372039  5.464104  5.538351
Cd126	1.332534  2.954933  3.651013  3.750952  5.058017  5.058526  6.469968  6.495138
Cd128	1.497792  3.205909  3.357116  4.695495  6.481128  5.431430  6.767240  7.602031
Cd130	0.901658  2.287153  2.631379  2.803950  4.367573  4.116384  5.955504  5.711102
Cd132	2.033540  4.394915  3.471249  4.462603  5.766775  5.384557  6.837772  7.010733
Cd134	1.428183  2.912932  2.356124  3.168282  4.470225  4.090926  4.969557  5.624060
Cd136	1.039124  2.279933  2.267544  2.464067  3.625765  3.623472  4.436055  4.880724
Cd138	0.862425  1.966625  2.218335  2.052019  2.997242  3.320572  4.204837  4.072469
Cd140	0.770626  1.795529  2.152612  1.823573  2.638707  3.033472  3.941393  3.637193
Cd142	0.721778  1.685186  2.009854  1.673897  2.377832  2.692873  3.665692  3.318508
Cd144	0.702997  1.621091  1.840072  1.562171  2.160497  2.401522  3.491521  3.053915
Cd146	0.701214  1.585117  1.694445  1.475889  1.991511  2.208405  3.414159  2.858417
Cd148	0.728376  1.590104  1.565446  1.451992  1.920343  2.101472  3.361554  2.755144
Cd150	0.782302  1.636067  1.465942  1.496907  1.976319  2.060291  3.268168  2.748897
Cd152	0.875280  1.735850  1.411363  1.608473  2.138417  2.084464  3.156565  2.838036
Cd154	1.001138  1.890654  1.446722  1.777963  2.399037  2.203719  3.129010  3.030973
Cd156	1.130273  2.065917  1.548479  1.965957  2.708822  2.397825  3.238196  3.265613
Cd158	1.236061  2.228119  1.680497  2.138221  2.982099  2.608359  3.455601  3.478007
Cd160	1.323945  2.398321  1.860880  2.327637  3.258479  2.805357  3.733799  3.687553
Cd162	1.405692  2.602631  2.121357  2.597178  3.606266  3.027674  4.099900  3.954842
Cd164	1.410189  2.716512  2.366821  2.858792  3.954984  3.225062  4.450128  4.222442
Cd166	1.362445  2.712346  2.494874  3.054272  4.217119  3.386161  4.719478  4.457048
Cd168	1.333640  2.663191  2.456728  3.126382  4.293789  3.559560  4.939005  4.638881
Cd170	1.365111  2.764734  2.602644  3.351848  4.664675  4.171022  5.751864  5.456897
Cd172	1.255212  2.423520  2.039841  2.922288  3.983181  3.497215  4.766615  4.601425
nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Cd94	1.150697  2.594229  2.812244  3.738885  4.603271  4.464626  5.502654  5.609312
Cd96	1.130955  2.489056  2.942059  3.929136  5.736646  5.031591  6.220194  6.298939
Cd98	2.187568  4.258644  3.652995  5.058149  6.535105  6.108356  7.021755  7.923253
Cd100	1.644563  3.315270  2.434661  3.876299  4.810472  4.684105  5.752372  6.256458
Cd102	0.932443  2.155621  2.256265  2.465868  3.919172  3.646039  4.621159  4.872406
Cd104	0.778500  1.964689  2.410296  2.201500  3.045659  3.437401  4.406515  4.100188
Cd106	0.736792  1.871760  2.387565  2.127571  2.776120  3.072686  3.985664  3.804191
Cd108	0.728414  1.858693  2.105415  2.135593  2.675781  2.532548  3.477820  3.565246
Cd110	0.755012  1.814214  1.651811  1.882810  2.354248  2.099942  3.012267  3.134382
Cd112	0.835231  1.780838  1.307194  1.684248  2.091320  1.880835  2.770181  2.702360
Cd114	0.912283  1.813862  1.264229  1.617039  1.926335  1.849994  2.774235  2.523478
Cd116	0.985557  2.015190  1.479685  1.789705  2.081351  2.103405  2.899038  2.848638
Cd118	1.089249  2.243722  1.751598  2.047714  2.585180  2.542791  3.146378  3.315056
Cd120	1.190788  2.493236  2.161698  2.379260  3.333090  3.166624  3.767445  3.974615
Cd122	1.212647  2.616441  2.606439  2.602158  3.988691  3.806588  4.551471  4.721240
Cd124	1.237373  2.722110  3.085335  2.967520  4.397910  4.372039  5.464104  5.538351
Cd126	1.332534  2.954933  3.651013  3.750952  5.058017  5.058526  6.469968  6.495138
Cd128	1.497792  3.205909  3.357116  4.695495  6.481128  5.431430  6.767240  7.602031
Cd130	0.901658  2.287153  2.631379  2.803950  4.367573  4.116384  5.955504  5.711102
Cd132	2.033540  4.394915  3.471249  4.462603  5.766775  5.384557  6.837772  7.010733
Cd134	1.428183  2.912932  2.356124  3.168282  4.470225  4.090926  4.969557  5.624060
Cd136	1.039124  2.279933  2.267544  2.464067  3.625765  3.623472  4.436055  4.880724
Cd138	0.862425  1.966625  2.218335  2.052019  2.997242  3.320572  4.204837  4.072469
Cd140	0.770626  1.795529  2.152612  1.823573  2.638707  3.033472  3.941393  3.637193
Cd142	0.721778  1.685186  2.009854  1.673897  2.377832  2.692873  3.665692  3.318508
Cd144	0.702997  1.621091  1.840072  1.562171  2.160497  2.401522  3.491521  3.053915
Cd146	0.701214  1.585117  1.694445  1.475889  1.991511  2.208405  3.414159  2.858417
Cd148	0.728376  1.590104  1.565446  1.451992  1.920343  2.101472  3.361554  2.755144
Cd150	0.782302  1.636067  1.465942  1.496907  1.976319  2.060291  3.268168  2.748897
Cd152	0.875280  1.735850  1.411363  1.608473  2.138417  2.084464  3.156565  2.838036
Cd154	1.001138  1.890654  1.446722  1.777963  2.399037  2.203719  3.129010  3.030973
Cd156	1.130273  2.065917  1.548479  1.965957  2.708822  2.397825  3.238196  3.265613
Cd158	1.236061  2.228119  1.680497  2.138221  2.982099  2.608359  3.455601  3.478007
