nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Cd94	0.28120290  0.46900102  0.67927391  1.00816261 0.10273451  0.29973729  0.08452407  0.95622472
Cd96	0.29696740  0.44135426  0.84908558  0.86752493 0.10605865  0.27035401  0.69320006  0.67205441
Cd98	0.21061068  0.38167692  0.64877758  0.43916962 0.04487958  0.19222850  0.51897103  -0.04832817
Cd100	0.18298473  0.32412095  0.47486955  0.45055047 0.03981589  0.14200763  0.28966916  0.07034328
Cd102	0.32056489  0.45880669  0.46124672  0.74491762 0.11886528  0.28611217  0.00433515  0.62718822
Cd104	0.40865956  0.61862747  0.60159687  0.96023917 0.18311964  0.47481145  0.08233363  0.97881557
Cd106	0.44660883  0.90372426  0.69422959  1.27539026 0.21691837  0.80918993  0.08372746  1.54384023
Cd108	0.45964495  1.29051970  0.82626330  1.34015170 0.22885183  1.32761815  0.18721978  1.75174964
Cd110	0.47712610  1.37765848  0.89681085  1.30770708 0.23774320  1.45753333  0.28146274  1.60975635
Cd112	0.45997320  1.37033971  0.93859603  1.36591166 0.21932547  1.40946609  0.39307736  1.53356324
Cd114	0.43378720  1.46628046  1.03405271  1.22236317 0.18406745  1.52479738  0.60206385  1.22749004
Cd116	0.40943112  1.13299853  1.19703213  1.15955359 0.15931597  0.86188258  0.96291415  1.06711094
Cd118	0.37065830  0.91405081  1.02345161  1.11769714 0.13853103  0.56095551  0.67744655  0.94955800
Cd120	0.33475822  0.72812291  0.76840447  1.15701773 0.12114251  0.45214471  0.24440974  0.99347864
Cd122	0.31887096  0.59221278  0.58035524  1.07992356 0.11680251  0.34720350  0.12729954  0.87530342
Cd124	0.29540245  0.51677151  0.49208581  1.01439665 0.11287271  0.28126042  0.10628380  0.82979205
Cd126	0.26129747  0.44855672  0.47397920  0.92892370 0.09489048  0.23697683  0.10419566  0.77473479
Cd128	0.20757551  0.35200015  0.59105484  0.43698170 0.05213529  0.17586960  0.40951881  0.04749472
Cd130	0.40143459  0.51770462  0.68643240  0.68939183 0.15053123  0.27461387  0.39405668  0.27944356
Cd132	0.15786770  0.29532324  0.49752547  0.41341643 0.02253734  0.11307681  0.32301770  0.12315737
Cd134	0.20845895  0.39572272  0.53727914  0.61869160 0.05552810  0.21738520  0.32526473  0.33806183
Cd136	0.31459564  0.55043828  0.52452562  0.98943008 0.12381483  0.40133754  0.11322991  0.98997331
Cd138	0.41789393  0.73928471  0.63528836  1.28069206 0.19984431  0.64630709  0.10177277  1.50673711
Cd140	0.50996960  0.98371877  0.74630600  1.57509261 0.27364534  0.98576699  0.09935570  2.09506676
Cd142	0.58864191  1.29193193  0.88191865  1.77880818 0.33941598  1.44440519  0.14264663  2.55800755
Cd144	0.64894674  1.56888932  1.02664237  1.89181086 0.38572316  1.84967247  0.27895992  2.82232270
Cd146	0.69413817  1.70759685  1.21389369  2.02560975 0.41101874  1.98672556  0.59330506  3.11326885
Cd148	0.70568259  1.67005255  1.46446036  2.08386148 0.40496995  1.76046037  1.11958430  3.12933111
Cd150	0.68310439  1.60649799  1.66506228  1.91322636 0.37670528  1.51609576  1.53534848  2.36617975
Cd152	0.62604004  1.55108958  1.79117416  1.75488067 0.33124231  1.34625925  1.80553670  1.83717068
Cd154	0.55983595  1.49600430  1.86289431  1.67930673 0.28458182  1.25333983  2.01402435  1.56892703
Cd156	0.51344014  1.42076010  1.90763666  1.64961869 0.25414151  1.17059151  2.23973781  1.35794899
Cd158	0.49159460  1.34488796  1.94087307  1.60017745 0.24214903  1.09843241  2.39521823  1.18713776
Cd160	0.47812963  1.30678824  1.97241513  1.53100906 0.23739651  1.09493946  2.47630765  1.06612556
Cd162	0.45974886  1.30526685  1.97965091  1.46407906 0.22734646  1.16164106  2.51254647  0.94709841
Cd164	0.45492370  1.32718207  1.99372498  1.38680909 0.22487070  1.27213666  2.56352515  0.83103365
Cd166	0.45820770  1.33683648  2.03976203  1.28868275 0.22776052  1.35953125  2.64623912  0.72314466
Cd168	0.45445747  1.28765396  2.02006566  1.28215959 0.22558273  1.34442170  2.61784426  0.73523827
Cd170	0.43195584  1.09505380  1.88728241  1.27216079 0.20925766  1.17589992  2.77196504  1.01811991
Cd172	0.44972404  1.16767132  1.84003126  1.38425637 0.23563540  1.23567211  2.46777960  0.82530922
nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Cd94	0.28166197  0.47052764  0.68089790  1.01058483 0.10232384  0.29846353  0.08470372  0.95609089
Cd96	0.29752118  0.44246990  0.85765293  0.88035959 0.10685130  0.27127798  0.69619361  0.70334853
Cd98	0.21134141  0.38295768  0.65928524  0.44526951 0.04536215  0.19189718  0.50357732  -0.04051081
Cd100	0.18323263  0.32458876  0.47575821  0.45248258 0.03984860  0.14194898  0.28875859  0.06960728
Cd102	0.32074546  0.45923445  0.46246448  0.74515573 0.11882933  0.28589819  0.00587086  0.62670831
Cd104	0.40878920  0.61935185  0.60281393  0.96197171 0.18311167  0.47388109  0.08340060  0.97459220
Cd106	0.44698814  0.90444153  0.69640461  1.27758446 0.21748293  0.80852872  0.08719866  1.53321411
Cd108	0.46061046  1.29144488  0.84098644  1.34094974 0.23083695  1.32921089  0.22298087  1.75096819
Cd110	0.47775761  1.37877630  0.90781516  1.31067996 0.23871339  1.46081924  0.31162460  1.62554986
Cd112	0.46059299  1.37162485  0.94442753  1.37084279 0.22004690  1.41264985  0.40856591  1.54353211
Cd114	0.43490408  1.46859362  1.04116599  1.22631890 0.18582870  1.53491147  0.62146954  1.24374282
Cd116	0.41010015  1.13438779  1.20137362  1.16145602 0.16009841  0.86427423  0.97503819  1.07048561
Cd118	0.37118887  0.91510696  1.02616178  1.12114412 0.13925348  0.56222592  0.68331499  0.95845436
Cd120	0.33507100  0.72844843  0.77039225  1.15917863 0.12143007  0.45271553  0.25159125  1.00192737
Cd122	0.31901437  0.59267781  0.58230386  1.08133308 0.11692908  0.34764468  0.13646307  0.87734144
Cd124	0.29549613  0.51729792  0.49344200  1.01628474 0.11309699  0.28222083  0.11058734  0.82864749
Cd126	0.26145306  0.44893476  0.47481258  0.92987929 0.09493093  0.23781999  0.10515826  0.77475487
Cd128	0.20788030  0.35293927  0.59484751  0.43826419 0.05192829  0.17475163  0.39801756  0.04784749
Cd130	0.40274942  0.52093129  0.69025962  0.69787417 0.15096025  0.27804601  0.40137139  0.30220653
Cd132	0.15800575  0.29545482  0.49806473  0.41717727 0.02266965  0.11312801  0.32337840  0.11935325
Cd134	0.20856073  0.39593501  0.53839588  0.61905989 0.05564625  0.21756591  0.32618589  0.33691038
Cd136	0.31473310  0.55075159  0.52545962  0.99024557 0.12393548  0.40129843  0.11373930  0.98561729
Cd138	0.41805061  0.73961112  0.63711961  1.28193473 0.20002150  0.64595799  0.10511886  1.50125717
Cd140	0.51014525  0.98436151  0.75027306  1.57610665 0.27388616  0.98650505  0.10815135  2.09617354
Cd142	0.58899244  1.29289209  0.88717882  1.78223701 0.34013102  1.44553688  0.15626139  2.57611484
Cd144	0.64960005  1.57002037  1.03216317  1.89682766 0.38706954  1.85131553  0.29185363  2.85444420
Cd146	0.69513530  1.70904701  1.21896255  2.03111303 0.41313430  1.98888673  0.60474902  3.14963176
Cd148	0.70678224  1.67169314  1.47001437  2.09059676 0.40761954  1.76357840  1.13141757  3.17053007
Cd150	0.68397478  1.60825153  1.67267344  1.92119764 0.37895195  1.52008561  1.55322046  2.41860231
Cd152	0.62658965  1.55269665  1.79918033  1.75972206 0.33255010  1.35032550  1.82561820  1.87175598
Cd154	0.56038019  1.49722587  1.86837948  1.68296089 0.28543289  1.25597128  2.02867623  1.59110671
Cd156	0.51412922  1.42223427  1.91182581  1.65186578 0.25472683  1.17381896  2.25194308  1.36739937
Cd158	0.49250842  1.34685222  1.94522027  1.60200699 0.24288870  1.10366027  2.40919205  1.19213157
Cd160	0.47891370  1.30851349  1.97594092  1.53287141 0.23827200  1.10008712  2.48704134  1.07078051
Cd162	0.46004513  1.30612702  1.98164956  1.46599970 0.22789384  1.16447369  2.51743967  0.95362218
Cd164	0.45497666  1.32748353  1.99466843  1.38869181 0.22512338  1.27277969  2.56454159  0.83930918
Cd166	0.45831742  1.33704298  2.04091725  1.29010342 0.22793558  1.35932140  2.64722344  0.72768907
Cd168	0.45460695  1.28796217  2.02172070  1.28343920 0.22559695  1.34390905  2.61687410  0.73871238
Cd170	0.43219600  1.09557731  1.89000212  1.30287836 0.20947745  1.17490436  2.76936263  1.18217609
Cd172	0.44989576  1.16792361  1.84110024  1.38555404 0.23581161  1.23542529  2.46647590  0.83300292
