nucleus  rho21  rho31  rho41  rho32  rho42 rho43
Cd94	0.051998 0.003431  0.000011  0.004678  0.105020 0.024240
Cd96	0.104766 0.000132  0.000500  0.051775  0.010345 0.181769
Cd98	0.032854 0.001267  0.020060  0.080668  0.000996 0.001349
Cd100	0.026871 0.000720  0.003627  0.046893  0.032140 0.002318
Cd102	0.047067 0.010581  0.002481  0.000141  0.124695 0.001184
Cd104	0.044113 0.018865  0.000010  0.000727  0.142411 0.006530
Cd106	0.050440 0.006995  0.001173  0.004606  0.190554 0.002012
Cd108	0.042484 0.002054  0.006868  0.001446  0.194692 0.037144
Cd110	0.051875 0.004682  0.004171  0.010482  0.220564 0.017296
Cd112	0.058433 0.007296  0.000896  0.024031  0.194241 0.005192
Cd114	0.052523 0.008212  0.000731  0.043254  0.192896 0.002016
Cd116	0.051481 0.001456  0.000976  0.021249  0.183259 0.010804
Cd118	0.042566 0.000325  0.000577  0.000235  0.176978 0.009115
Cd120	0.033580 0.001085  0.000339  0.005970  0.127940 0.001170
Cd122	0.029658 0.001720  0.000120  0.005324  0.091088 0.004458
Cd124	0.024674 0.000738  0.000031  0.006082  0.069778 0.000887
Cd126	0.016913 0.000436  0.000046  0.006974  0.048137 0.000458
Cd128	0.007786 0.000131  0.002864  0.024712  0.000077 0.000572
Cd130	0.001890 0.013243  0.002794  0.012149  0.016780 0.000000
Cd132	0.008401 0.000840  0.001967  0.021083  0.013247 0.009277
Cd134	0.021129 0.001048  0.002111  0.022660  0.043155 0.005865
Cd136	0.040368 0.004547  0.001165  0.001840  0.112608 0.000001
Cd138	0.058091 0.009697  0.000464  0.000608  0.163015 0.002221
Cd140	0.068407 0.017733  0.000049  0.000025  0.213504 0.007779
Cd142	0.082615 0.018338  0.001750  0.000745  0.256022 0.000294
Cd144	0.100066 0.012330  0.004263  0.000187  0.252669 0.012541
Cd146	0.114578 0.007184  0.005507  0.005655  0.221706 0.039237
Cd148	0.126392 0.002322  0.004877  0.014472  0.224875 0.039752
Cd150	0.125651 0.001006  0.003344  0.016438  0.243015 0.011949
Cd152	0.112374 0.000865  0.002739  0.017454  0.226689 0.004084
Cd154	0.092958 0.001470  0.002355  0.023625  0.201732 0.001982
Cd156	0.076565 0.002604  0.001315  0.044700  0.158752 0.001364
Cd158	0.063976 0.003478  0.000316  0.074048  0.104988 0.002273
Cd160	0.050457 0.003863  0.000004  0.090677  0.066653 0.003130
Cd162	0.035793 0.004052  0.000161  0.099737  0.038788 0.003713
Cd164	0.024703 0.003413  0.000843  0.103546  0.018667 0.004724
Cd166	0.017249 0.001520  0.001931  0.103240  0.003576 0.001919
Cd168	0.013103 0.000258  0.001947  0.092372  0.000190 0.002331
Cd170	0.007685 0.000113  0.001604  0.052240  0.002728 0.061021
Cd172	0.012091 0.000268  0.000964  0.081066  0.001627 0.023462
