band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1491.659000,,,
band1,level,4,1,2870.269000,,,
band1,level,6,1,4232.489000,,,
band1,transition,,,,2_1,0_1,11.371506
band1,transition,,,,4_1,2_1,28.194352
band1,transition,,,,6_1,4_1,48.363272
band2,level,0,2,2304.930000,,,
band2,level,2,3,3685.226000,,,
band2,level,4,3,5033.474000,,,
band2,level,6,3,6373.411000,,,
band2,transition,,,,2_3,0_2,17.091522
band2,transition,,,,4_3,2_3,36.120587
band2,transition,,,,6_3,4_3,58.429918
band3,level,2,2,2995.754000,,,
band3,level,3,1,4361.659000,,,
band3,transition,,,,3_1,2_2,28.135254
interband,transition,,,,2_2,0_1,0.057116
interband,transition,,,,2_2,2_1,22.599378
interband,transition,,,,2_2,0_2,4.289791
interband,transition,,,,0_2,2_1,41.726513
