band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,256.487000,,,
band1,level,4,1,620.686000,,,
band1,level,6,1,1060.704000,,,
band1,transition,,,,2_1,0_1,147.726033
band1,transition,,,,4_1,2_1,238.370266
band1,transition,,,,6_1,4_1,320.578653
band2,level,0,2,768.436000,,,
band2,level,2,3,1069.006000,,,
band2,level,4,3,1259.152000,,,
band2,level,6,3,1507.529000,,,
band2,transition,,,,2_3,0_2,88.004124
band2,transition,,,,4_3,2_3,679.657324
band2,transition,,,,6_3,4_3,709.712160
band3,level,2,2,570.593000,,,
band3,level,3,1,1032.581000,,,
band3,transition,,,,3_1,2_2,187.684687
interband,transition,,,,2_2,0_1,1.766591
interband,transition,,,,2_2,2_1,203.473187
interband,transition,,,,0_2,2_2,374.550677
interband,transition,,,,0_2,2_1,36.349155
