nucleus  B(21+ -> 01+)  B(22+ -> 02+)  B(23+ -> 03+)  B(24+ -> 04+)
Cm226	0.368799  11.673009  2.973723  0.000327
Cm228	11.893926  0.512715  1.624187  0.005943
Cm230	3.286355  11.639786  0.187572  0.251012
Cm232	2.820900  3.360818  0.002072  0.048973
Cm234	2.730403  2.893506  0.000002  0.018689
Cm236	2.832505  0.117199  0.021869  0.009322
Cm238	2.984820  0.113560  0.005294  0.000739
Cm240	3.118566  0.109578  0.004493  0.002627
Cm242	3.224534  0.095648  0.004099  0.001827
Cm244	3.319877  0.038858  0.001497  0.000022
Cm246	3.385736  0.029863  0.000442  0.000227
Cm248	3.395419  0.010871  0.003586  0.008739
Cm250	3.355437  0.004665  0.005104  0.014863
Cm252	3.216674  0.004218  0.005732  0.015080
Cm254	2.998081  0.003502  0.005791  0.011462
Cm256	2.760283  0.000900  0.010615  0.003818
Cm258	2.530069  0.000882  0.066754  0.002080
Cm260	2.244347  0.073785  0.800468  0.122046
Cm262	1.607322  0.282267  1.664645  3.410150
Cm264	1.086653  0.349982  1.231163  1.549297
Cm266	0.836601  0.267927  0.099188  10.733505
Cm268	0.635134  0.146010  0.006222  0.013744
Cm270	0.405408  0.022816  0.001437  0.030189
Cm272	0.261776  0.040750  0.004297  0.126780
Cm274	0.191395  0.061322  0.020348  0.036429
Cm276	0.140553  0.078951  0.035062  0.001386
Cm278	0.123083  0.082866  0.042023  0.180385
Cm280	0.171099  0.084449  0.097302  0.000709
Cm282	0.225513  0.002007  0.111185  0.024479
Cm284	0.284156  0.010307  0.042161  0.031930
Cm286	0.349657  0.047284  0.104672  0.056745
Cm288	0.493386  0.163680  0.305030  1.618977
Cm290	0.763961  0.205115  0.436902  0.836348
Cm292	1.122379  0.358482  0.629162  0.384911
Cm294	1.617177  2.274785  0.249535  0.168355
Cm296	2.181517  2.941348  0.167081  0.099344
Cm298	2.629460  0.350386  0.111642  0.068885
Cm300	2.969000  0.075832  0.077621  0.029623
Cm302	3.237774  0.071703  0.029290  0.003181
Cm304	3.459438  0.075881  0.007689  0.000381
Cm306	3.628451  0.079849  0.000432  0.002706
Cm308	3.752602  0.071996  0.000662  0.001156
Cm310	3.841533  0.041237  0.000141  0.003212
Cm312	3.900974  0.004199  0.023569  0.043199
Cm314	3.926883  0.001633  0.076097  0.108230
Cm316	3.901469  0.008592  0.126197  0.165206
Cm318	3.829687  0.028992  0.305105  0.188936
Cm320	3.706977  0.113910  1.104106  0.138510
Cm322	3.533525  0.352395  2.683445  0.068575
Cm324	3.320532  0.610406  1.908567  0.195949
Cm326	3.052231  0.819438  0.997549  0.528308
Cm328	2.663188  0.957447  1.136918  0.856795
Cm330	2.101415  1.037284  2.187432  0.422423
Cm332	1.558008  0.777725  3.461811  0.616983
Cm334	1.221044  0.287344  1.440146  5.526552
Cm336	0.999545  0.154206  0.380266  7.273378
Cm338	0.815573  0.069406  0.040005  0.461132
Cm340	0.637237  0.027833  0.000056  0.030600
Cm342	0.483253  0.019490  0.019072  0.044739
Cm344	0.381244  0.017796  0.076250  0.010639
Cm346	0.313489  0.011803  0.137970  0.000004
Cm348	0.265978  0.008128  0.180285  0.008084
Cm350	0.241157  0.009381  0.208633  0.015785
Cm352	0.222451  0.006547  0.257972  0.023694
Cm354	0.247426  0.000474  0.224357  0.036785
nucleus  B(21+ -> 01+)  B(23+ -> 02+)  B(22+ -> 21+)
