band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1142.865000,,,
band1,level,4,1,2399.665000,,,
band1,level,6,1,3723.100000,,,
band1,transition,,,,2_1,0_1,18.105466
band1,transition,,,,4_1,2_1,36.951260
band1,transition,,,,6_1,4_1,56.817287
band2,level,0,2,1831.376000,,,
band2,level,2,3,3102.553000,,,
band2,level,4,3,4335.878000,,,
band2,level,6,4,5581.821000,,,
band2,transition,,,,2_3,0_2,18.667462
band2,transition,,,,4_3,2_3,45.224991
band2,transition,,,,6_4,4_3,65.831203
band3,level,2,2,2509.566000,,,
band3,level,3,1,4107.656000,,,
band3,transition,,,,3_1,2_2,29.665601
interband,transition,,,,2_2,0_1,2.778002
interband,transition,,,,2_2,2_1,29.423398
interband,transition,,,,2_2,0_2,5.800941
interband,transition,,,,0_2,2_1,40.638005
