nucleus  bet1  bet2  bet3  bet4  cos3g1  cos3g2  cos3g3  cos3g4
Cm226	0.11106261  0.62639142  0.32518137  0.28812760  0.64808713  0.98984773  0.89731169  1.10709321
Cm228	0.62828335  0.15868833  0.37198759  0.31302916  0.99273452  0.99863534  0.83732906  1.06223853
Cm230	0.33670125  0.62329077  0.32032980  0.30381274  0.90249548  1.00158237  0.96710476  1.10620482
Cm232	0.30914198  0.34100383  0.62454750  0.32734390  0.91162584  0.87403558  0.99911257  0.93807151
Cm234	0.30043226  0.33852315  0.32950443  0.44141941  0.93554851  0.87357952  0.86458512  1.03422828
Cm236	0.30307562  0.33993986  0.30981384  0.38174972  0.95310820  0.86552279  0.87042592  0.90259257
Cm238	0.30870733  0.34435460  0.30922815  0.37314548  0.96348578  0.86852342  0.89873767  0.88216640
Cm240	0.31335330  0.34155845  0.32077574  0.36986944  0.96804522  0.91566055  0.85402196  0.90982514
Cm242	0.31679115  0.34018645  0.32512984  0.36776210  0.96945108  0.94833054  0.81875289  0.93632033
Cm244	0.31990614  0.34373146  0.32456517  0.37851855  0.96925348  0.94708274  0.81213307  0.94303832
Cm246	0.32151473  0.34609614  0.32527072  0.39357823  0.96935729  0.94676855  0.82537179  0.94116232
Cm248	0.32043756  0.34427982  0.33279628  0.38590142  0.96550590  0.98075731  0.81599325  0.95436234
Cm250	0.31711669  0.34513929  0.33393218  0.38731423  0.96166921  0.98991130  0.81534566  0.96377100
Cm252	0.30920659  0.34840324  0.32782176  0.39162173  0.95565893  0.98506878  0.80661362  0.97104843
Cm254	0.29742535  0.35156171  0.31390481  0.40408364  0.94879085  0.97992233  0.78236008  0.99098898
Cm256	0.28445826  0.35283877  0.29708375  0.42617749  0.93817939  0.98390260  0.75163496  1.02185363
Cm258	0.27155335  0.34892266  0.28148278  0.44882415  0.92241141  0.99893911  0.71935006  1.04096610
Cm260	0.25486709  0.30907949  0.30340577  0.44535401  0.89779083  1.02399011  0.86862591  1.06440408
Cm262	0.21331949  0.26182903  0.30753178  0.45213978  0.79379750  0.96375933  0.96278544  1.06701729
Cm264	0.17303831  0.19600757  0.24263753  0.51505962  0.60135456  0.31634725  0.91539934  1.00463025
Cm266	0.15188778  0.17725213  0.17498544  0.54489601  0.50716770  0.09824195  0.79807016  0.98451862
Cm268	0.13335367  0.15770227  0.15321843  0.53726030  0.46774293  -0.01338702  0.86692082  1.00431515
Cm270	0.10883354  0.13535045  0.14905811  0.17592624  0.43403435  0.04841222  0.75871077  -0.16449242
Cm272	0.08883006  0.11750774  0.13097328  0.14915919  0.41702351  0.05498437  0.63930300  -0.27297724
Cm274	0.07690853  0.10127536  0.11673173  0.12316243  0.43470757  0.04043092  -0.09084438  0.22729691
Cm276	0.06751704  0.08899666  0.10814596  0.10664341  0.48253480  0.18996921  -0.12421315  0.52166853
Cm278	0.06557654  0.08887424  0.10704791  0.11850090  0.66599299  0.38721837  0.08468263  -0.72487366
Cm280	0.07074683  0.09883552  0.12312020  0.11754690  0.60789341  0.35232559  0.04699024  0.59374599
Cm282	0.07610752  0.10289593  0.12414289  0.12883140  0.53624488  0.45180791  0.12974635  0.67059620
Cm284	0.08366824  0.11248482  0.13499220  0.14737538  0.48628872  0.65905585  0.21146702  0.78801336
Cm286	0.09320482  0.12872411  0.16048406  0.16762662  0.57407083  0.84433251  0.44801931  0.90323839
Cm288	0.11123155  0.14780255  0.22962570  0.49125222  0.71239436  0.93768655  0.74185266  1.08955343
Cm290	0.13875011  0.16896655  0.29176635  0.56776079  0.80461840  0.98901526  0.79429990  1.00813014
Cm292	0.16814450  0.21060142  0.30891709  0.58123638  0.86626723  1.00605031  0.81983970  1.00574681
Cm294	0.20080162  0.25079693  0.30253662  0.58211190  0.92477199  0.98449172  0.83740998  1.01167655
Cm296	0.23131530  0.27603633  0.29202323  0.57152961  0.94776308  0.96076047  0.84210833  1.02138251
Cm298	0.25209088  0.29537318  0.28637383  0.55233016  0.94914492  0.93423332  0.82858517  1.03290379
Cm300	0.26616820  0.30869591  0.28292246  0.51218842  0.94878247  0.91342714  0.79358439  1.04675288
Cm302	0.27627983  0.31723492  0.28309385  0.46024765  0.95038312  0.89930019  0.77582247  1.03784333
Cm304	0.28390696  0.32296247  0.28608591  0.42578060  0.95275206  0.89130947  0.79020616  1.00790959
Cm306	0.28923159  0.32674211  0.29099237  0.41394766  0.95310047  0.88742364  0.80652266  0.99826234
Cm308	0.29276772  0.32911960  0.29642218  0.40742530  0.95132765  0.89398252  0.79816136  1.02002249
Cm310	0.29492454  0.33124371  0.30223713  0.39543571  0.94922264  0.93027147  0.76141716  0.90904096
Cm312	0.29596819  0.33242747  0.30472581  0.37203389  0.94653290  0.98243611  0.69184025  0.84068735
Cm314	0.29580862  0.33304541  0.30597787  0.34786576  0.94295445  0.99653253  0.66646282  0.74273482
Cm316	0.29380040  0.33570679  0.30213020  0.33668029  0.93823416  0.99449173  0.63731747  0.69758371
Cm318	0.29010109  0.33608576  0.29825216  0.33460545  0.93170615  0.98582492  0.62030154  0.71464328
Cm320	0.28445025  0.32198889  0.30809852  0.34124098  0.92227254  0.94200500  0.71546522  0.77480576
Cm322	0.27669263  0.28086577  0.34141695  0.47464630  0.90768541  0.72824716  0.88917403  0.98548275
Cm324	0.26702891  0.25541765  0.35724747  0.44347078  0.88529427  0.52572557  0.93805584  1.02779669
Cm326	0.25443503  0.24553163  0.35719869  0.41802217  0.84566629  0.50051551  0.94734746  1.06315756
Cm328	0.23524313  0.24396913  0.33643640  0.41430863  0.76146891  0.60252528  0.93180655  1.07205324
Cm330	0.20940423  0.24204709  0.29535945  0.43746944  0.62222934  0.69672104  0.84913585  1.05101267
Cm332	0.18466166  0.21898100  0.27435738  0.45668857  0.50280368  0.51831885  0.82947142  1.03227088
Cm334	0.16474560  0.19581935  0.25219214  0.46659805  0.45442337  0.14454629  0.91263322  1.02395577
Cm336	0.14846326  0.17942774  0.20929941  0.45091479  0.45676181  0.09856686  0.86045181  1.02272373
Cm338	0.13305837  0.16023349  0.17383563  0.32068760  0.48660714  0.10217139  0.68605125  0.91702069
Cm340	0.11658375  0.14497205  0.15928305  0.23269275  0.52716063  0.18077866  0.47051514  0.46017008
Cm342	0.10057859  0.13307270  0.15017006  0.19452235  0.56108329  0.26942429  0.23220353  0.37197838
Cm344	0.08867711  0.12052355  0.14262127  0.16742418  0.57731708  0.32518077  0.02270460  0.48930399
Cm346	0.08034408  0.10823029  0.13509467  0.14616761  0.59242538  0.36096192  -0.03703137  0.61499453
Cm348	0.07474669  0.10003953  0.12764492  0.13376090  0.61300851  0.37550108  -0.00564562  0.67006330
Cm350	0.07219382  0.09581084  0.12181083  0.13138361  0.62380270  0.37422512  0.05805425  0.67116750
Cm352	0.06861718  0.09569703  0.12240216  0.13084255  0.59332399  0.40212705  0.15630191  0.68065917
Cm354	0.06901592  0.10602224  0.13605876  0.13129693  0.50428269  0.44841787  0.19280887  0.71748157
nucleus  bet1  bet2  bet3  bet4  cos3g1  cos3g2  cos3g3  cos3g4
Cm226	0.11106261  0.62639142  0.32518137  0.28812760  0.64808713  0.98984773  0.89731169  1.10709321
Cm228	0.62828335  0.15868833  0.37198759  0.31302916  0.99273452  0.99863534  0.83732906  1.06223853
Cm230	0.33670125  0.62329077  0.32032980  0.30381274  0.90249548  1.00158237  0.96710476  1.10620482
Cm232	0.30914198  0.34100383  0.62454750  0.32734390  0.91162584  0.87403558  0.99911257  0.93807151
Cm234	0.30043226  0.33852315  0.32950443  0.44141941  0.93554851  0.87357952  0.86458512  1.03422828
Cm236	0.30307562  0.33993986  0.30981384  0.38174972  0.95310820  0.86552279  0.87042592  0.90259257
Cm238	0.30870733  0.34435460  0.30922815  0.37314548  0.96348578  0.86852342  0.89873767  0.88216640
