nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Cm226	1.84942710  58.82921859  15.85450891  12.44718704 1.63000607  446.64040842  56.64642644  48.61731929
Cm228	59.88450558  3.82026373  20.99231111  14.86527545 460.04977800  7.45670476  80.53534908  60.88096008
Cm230	17.40003580  59.62687766  15.74908643  14.16682843 65.50436623  461.15803012  60.44446956  58.98539563
Cm232	14.83850591  18.05480154  60.56269094  16.63729523 52.10769795  67.05299640  470.89292836  63.65903179
Cm234	14.17548222  17.99788476  17.05168228  30.60184133 49.93132284  66.70135325  60.87775178  175.08048775
Cm236	14.59065907  18.35595910  15.24665391  23.14889961 53.11957227  68.06817834  51.81954918  100.52805562
Cm238	15.30923121  19.04896036  15.36093110  22.36741906 57.71323015  72.20852160  54.10772307  93.31991230
Cm240	15.95048009  18.95113790  16.71507166  22.22297112 61.66749175  75.54181989  58.36216588  95.31497014
Cm242	16.48377975  19.00836436  17.36298448  22.21491476 64.88003885  78.59173209  59.23650290  98.03731952
Cm244	16.99502524  19.62073278  17.49365253  23.79309877 67.90786697  82.31154582  59.42209249  109.44750205
Cm246	17.35423467  20.10931175  17.76207273  26.00553790 70.07967480  85.37675260  61.78600129  124.81399703
Cm248	17.42526203  20.11479454  18.79530618  25.27232688 70.23020029  88.47793070  66.49066452  121.24983030
Cm250	17.24970929  20.43301157  19.12758398  25.73181926 68.89669367  91.43129131  68.20747002  125.79969638
Cm252	16.57505973  21.04369440  18.63087221  26.58833718 64.48898993  95.09321543  64.86573308  133.13052934
Cm254	15.49855320  21.65400985  17.26359113  28.60735683 57.89048973  98.74137007  56.11815640  151.63010111
Cm256	14.32563727  22.04090696  15.62552569  32.15569233 50.86942336  101.81137402  46.42575015  186.32687081
Cm258	13.19147960  21.77917947  14.17381716  36.03592016 44.19416486  101.53161369  38.38579335  225.18528734
Cm260	11.74038172  17.26613253  16.63804756  35.84804055 36.11590409  73.46633336  58.95034118  228.45710133
Cm262	8.30908193  12.51778688  17.26918913  37.32822919 19.01250260  42.68349033  69.09353782  243.34786338
Cm264	5.52306284  7.08665274  10.85953969  48.93397171 7.80549744  5.96795847  32.75877992  343.89190453
Cm266	4.29844552  5.85394535  5.70518283  55.32138012 4.51979489  1.39145752  10.87540461  405.10111823
Cm268	3.34667285  4.68035932  4.41799601  54.32162938 2.86369738  -0.13555101  8.05039910  402.09548367
Cm270	2.25130366  3.48199382  4.22298752  5.88260663 1.46613924  0.31455528  6.58424449  -2.34693254
Cm272	1.51461410  2.65042206  3.29266459  4.27053326 0.77734451  0.23725307  3.81968880  -2.40907097
Cm274	1.14649802  1.98807116  2.64120512  2.94022656 0.53365080  0.11333434  -0.38994311  1.14594750
Cm276	0.89220040  1.55018338  2.28905527  2.22589015 0.40665139  0.36665519  -0.43018176  1.73240818
Cm278	0.84979392  1.56087608  2.26450338  2.77498019 0.52172312  0.75510717  0.28857175  -3.35082813
Cm280	0.99857691  1.94891854  3.02430943  2.75670296 0.60659624  0.95859402  0.24714224  2.71760072
Cm282	1.16665955  2.13248231  3.10407895  3.34296999 0.67573960  1.40696078  0.70956844  4.09882903
Cm284	1.42332027  2.57258180  3.70508974  4.41602194 0.82574917  2.71941827  1.50813685  7.31274471
Cm286	1.78287839  3.40067199  5.28577610  5.76674737 1.36662091  5.29493493  5.44452345  12.50831410
Cm288	2.56292670  4.52526530  10.92247877  49.99070657 2.92297266  9.02659081  26.77931558  385.10791632
Cm290	4.02489188  5.96882744  17.79745725  67.39355290 6.49712597  14.42236649  59.63777715  557.75584047
Cm292	5.96530528  9.35814918  20.13498207  71.28086340 12.62120724  28.80080611  74.07229740  605.26852689
Cm294	8.58527935  13.39258550  19.48838806  72.14943857 23.26303187  48.25126580  72.04469572  619.99918373
Cm296	11.49620650  16.37111820  18.32232811  70.18160833 36.94295433  63.64036192  66.04484839  600.51435520
Cm298	13.77715370  18.91417340  17.77918722  66.13673655 48.53687160  76.84867819  62.11621884  555.55109936
Cm300	15.49640290  20.84396457  17.50868074  57.38231765 57.87793126  86.92493992  58.13976242  454.99989150
Cm302	16.84474774  22.20895538  17.68589487  46.74652218 65.70455527  94.12324312  57.70360076  331.70785721
Cm304	17.94487409  23.22161639  18.22138043  40.36082905 72.42533597  99.73950100  61.46279723  258.44116804
Cm306	18.78784287  23.97704641  19.01729146  38.48365630 77.61650157  104.18963528  66.88666872  238.31927999
Cm308	19.41798854  24.53947978  19.90578201  37.60571487 81.40226364  108.67435111  70.88585213  235.22881451
Cm310	19.87593919  25.07270005  20.87379665  35.73202266 84.11231333  116.79153304  72.61474778  194.16451097
Cm312	20.18923032  25.46968010  21.40169503  31.90029566 85.86483814  126.28144775  68.49802962  151.46998233
Cm314	20.34002142  25.78319041  21.76255126  28.12892523 86.50034134  130.46573516  67.66134704  110.80605418
Cm316	20.23536734  26.41962080  21.39905625  26.57307014 85.40393499  135.04889864  63.08814401  95.55621383
Cm318	19.89566472  26.70299290  21.02940189  26.46828161 82.68307973  136.03156728  59.81956329  97.31458426
Cm320	19.28869480  24.71564702  22.62921147  27.75955985 78.12922960  115.74738357  77.01807506  113.32134153
Cm322	18.40319528  18.96250406  28.02000498  54.15496270 71.65973624  60.13430961  131.88307962  392.74115801
