nucleus  rho21  rho31  rho41  rho32  rho42 rho43
Cm226	0.000000 0.007357  0.012558  0.059361  0.057190 1.652827
Cm228	0.007293 0.117439  0.041757  0.111539  0.017036 0.779473
Cm230	0.488122 0.642441  0.026443  0.431027  0.029786 0.808108
Cm232	0.482153 0.000862  0.000696  0.070280  0.571554 0.268107
Cm234	0.260047 0.008713  0.007886  0.478242  0.105989 0.081722
Cm236	0.176598 0.035039  0.005355  0.248430  0.273274 0.052441
Cm238	0.143707 0.058592  0.000074  0.098443  0.375744 0.006864
Cm240	0.170646 0.027159  0.000128  0.109131  0.395378 0.008465
Cm242	0.198657 0.014638  0.000208  0.087969  0.415225 0.003807
Cm244	0.217766 0.024431  0.000806  0.039832  0.456762 0.000041
Cm246	0.228083 0.030716  0.001107  0.024750  0.472320 0.000680
Cm248	0.254949 0.002220  0.001149  0.039474  0.493486 0.025500
Cm250	0.257228 0.000095  0.002892  0.039603  0.512138 0.042987
Cm252	0.247170 0.000198  0.007387  0.044252  0.534650 0.037665
Cm254	0.231883 0.000627  0.013307  0.038918  0.582892 0.023290
Cm256	0.209035 0.004184  0.018005  0.036157  0.655799 0.009068
Cm258	0.180512 0.014468  0.021682  0.076646  0.739325 0.026810
Cm260	0.123139 0.056403  0.029112  0.301753  0.604182 0.466927
Cm262	0.058830 0.078515  0.027138  0.183187  0.322835 1.176959
Cm264	0.009010 0.083098  0.002909  0.007034  0.008077 0.486410
Cm266	0.024803 0.043442  0.000004  0.007467  0.000056 0.007388
Cm268	0.030031 0.016411  0.000244  0.000434  0.012111 0.000959
Cm270	0.022891 0.002265  0.001550  0.004117  0.103189 0.004219
Cm272	0.012636 0.001169  0.000393  0.005867  0.052930 0.008513
Cm274	0.010084 0.000354  0.001179  0.024013  0.018874 0.018088
Cm276	0.008021 0.000011  0.001168  0.030937  0.004152 0.003709
Cm278	0.007677 0.000072  0.000155  0.027407  0.000141 0.065418
Cm280	0.007422 0.001666  0.000966  0.022311  0.000782 0.011300
Cm282	0.010686 0.000483  0.000009  0.029122  0.004710 0.004201
Cm284	0.011642 0.000293  0.000249  0.013572  0.028303 0.008001
Cm286	0.012666 0.000701  0.000289  0.017576  0.031802 0.027662
Cm288	0.019112 0.000575  0.000268  0.050903  0.000013 0.287850
Cm290	0.036393 0.000664  0.000165  0.105875  0.002657 0.353004
Cm292	0.070070 0.000034  0.000089  0.297794  0.000035 0.263594
Cm294	0.121835 0.000326  0.000049  0.454947  0.007062 0.193345
Cm296	0.164011 0.001549  0.000003  0.478744  0.033755 0.150652
Cm298	0.186540 0.005667  0.000010  0.407688  0.085129 0.116813
Cm300	0.193893 0.014155  0.000002  0.271438  0.196936 0.048216
Cm302	0.189369 0.024557  0.000334  0.147904  0.338597 0.002397
Cm304	0.183285 0.032499  0.001039  0.073446  0.420846 0.007037
Cm306	0.183258 0.035741  0.001578  0.035337  0.441201 0.029575
Cm308	0.194484 0.029538  0.001869  0.021280  0.437176 0.037046
Cm310	0.219062 0.010160  0.001755  0.022246  0.419315 0.010782
Cm312	0.231562 0.001826  0.001030  0.028943  0.316044 0.007026
Cm314	0.218964 0.019443  0.000343  0.030439  0.183261 0.040566
Cm316	0.211308 0.030587  0.000038  0.036898  0.114731 0.063033
Cm318	0.192846 0.050117  0.000029  0.058153  0.074841 0.089877
Cm320	0.133415 0.103663  0.000123  0.108277  0.040635 0.136005
Cm322	0.041439 0.181046  0.008041  0.086308  0.199239 0.591883
Cm324	0.012505 0.191092  0.019820  0.037350  0.186058 0.748226
Cm326	0.008300 0.182355  0.025776  0.025388  0.177718 0.898239
Cm328	0.007433 0.178381  0.025795  0.024672  0.178859 0.963544
Cm330	0.002147 0.170147  0.016066  0.020181  0.175672 0.743120
Cm332	0.009207 0.128635  0.008239  0.001359  0.076097 0.587144
Cm334	0.059414 0.042376  0.003720  0.020228  0.004457 0.534709
Cm336	0.056172 0.018420  0.000640  0.006616  0.044970 0.282595
Cm338	0.045524 0.006570  0.000374  0.002135  0.135938 0.034874
Cm340	0.032614 0.001635  0.000917  0.013139  0.113261 0.003530
Cm342	0.020608 0.000301  0.000429  0.024621  0.065335 0.029088
Cm344	0.012804 0.000021  0.000099  0.033650  0.027531 0.037651
Cm346	0.008721 0.000002  0.000004  0.032656  0.008227 0.022212
Cm348	0.006861 0.000000  0.000006  0.028552  0.001650 0.007936
Cm350	0.006507 0.000023  0.000004  0.025889  0.000260 0.003097
Cm352	0.006359 0.000154  0.000011  0.025856  0.000084 0.001599
Cm354	0.005854 0.000511  0.000273  0.032018  0.001274 0.005648
