band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1302.408000,,,
band1,level,4,1,3097.624000,,,
band1,level,6,1,5518.673000,,,
band1,transition,,,,2_1,0_1,20.134308
band1,transition,,,,4_1,2_1,40.436341
band1,transition,,,,6_1,4_1,53.110819
band2,level,0,2,2464.151000,,,
band2,level,2,2,3987.015000,,,
band2,level,4,2,5952.656000,,,
band2,level,6,2,8145.260000,,,
band2,transition,,,,2_2,0_2,24.673329
band2,transition,,,,4_2,2_2,29.450660
band2,transition,,,,6_2,4_2,65.964027
band3,level,2,3,4444.725000,,,
band3,level,3,1,5359.357000,,,
band3,level,4,3,6236.217000,,,
band3,level,5,1,7339.231000,,,
band3,level,6,3,8902.037000,,,
band3,transition,,,,3_1,2_3,65.067980
band3,transition,,,,4_3,2_3,13.632076
band3,transition,,,,5_1,4_3,34.274140
band3,transition,,,,6_3,4_3,46.070237
band3,transition,,,,4_3,3_1,28.744530
band3,transition,,,,6_3,5_1,5.369262
band3,transition,,,,5_1,3_1,47.945043
interband,transition,,,,2_3,0_1,0.344408
interband,transition,,,,2_3,2_1,2.964410
interband,transition,,,,2_3,0_2,2.215521
interband,transition,,,,0_2,2_1,39.454873
