band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,108.993000,,,
band1,level,4,1,361.380000,,,
band1,level,6,1,753.417000,,,
band1,transition,,,,2_1,0_1,219.337757
band1,transition,,,,4_1,2_1,315.764764
band1,transition,,,,6_1,4_1,352.291517
band2,level,0,2,1969.412000,,,
band2,level,2,3,2073.591000,,,
band2,level,4,3,2303.172000,,,
band2,level,6,3,2652.164000,,,
band2,transition,,,,2_3,0_2,302.994178
band2,transition,,,,4_3,2_3,445.980885
band2,transition,,,,6_3,4_3,505.954213
band3,level,2,2,1149.878000,,,
band3,level,3,1,1263.107000,,,
band3,level,4,2,1412.293000,,,
band3,level,5,1,1597.994000,,,
band3,level,6,2,1818.214000,,,
band3,transition,,,,3_1,2_2,386.371140
band3,transition,,,,4_2,2_2,130.001284
band3,transition,,,,5_1,4_2,207.060866
band3,transition,,,,6_2,4_2,259.506956
band3,transition,,,,4_2,3_1,287.693349
band3,transition,,,,6_2,5_1,150.782174
band3,transition,,,,5_1,3_1,210.143128
interband,transition,,,,2_2,0_1,2.862773
interband,transition,,,,2_2,2_1,6.202518
interband,transition,,,,0_2,2_2,0.911989
interband,transition,,,,0_2,2_1,14.062554
