band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,764.733000,,,
band1,level,4,1,1951.641000,,,
band1,level,6,1,3569.820000,,,
band1,transition,,,,2_1,0_1,15.919647
band1,transition,,,,4_1,2_1,26.936491
band1,transition,,,,6_1,4_1,33.507727
band2,level,0,2,2303.463000,,,
band2,level,2,3,3715.495000,,,
band2,level,4,4,5329.631000,,,
band2,level,6,4,7201.731000,,,
band2,transition,,,,2_3,0_2,13.488308
band2,transition,,,,4_4,2_3,23.887982
band2,transition,,,,6_4,4_4,32.251331
band3,level,2,2,2105.235000,,,
band3,level,3,1,3046.271000,,,
band3,level,4,2,3532.337000,,,
band3,level,5,1,4586.075000,,,
band3,level,6,2,5307.735000,,,
band3,transition,,,,3_1,2_2,27.485430
band3,transition,,,,4_2,2_2,12.974382
band3,transition,,,,5_1,4_2,15.306729
band3,transition,,,,6_2,4_2,24.516578
band3,transition,,,,4_2,3_1,16.212757
band3,transition,,,,6_2,5_1,9.552378
band3,transition,,,,5_1,3_1,20.218140
interband,transition,,,,2_2,0_1,0.121096
interband,transition,,,,2_2,2_1,7.665793
interband,transition,,,,0_2,2_2,4.860328
interband,transition,,,,0_2,2_1,15.106972
