band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,76.200000,,,
band1,level,4,1,253.114000,,,
band1,level,6,1,528.871000,,,
band1,transition,,,,2_1,0_1,360.459716
band1,transition,,,,4_1,2_1,518.049091
band1,transition,,,,6_1,4_1,576.608525
band2,level,0,2,1575.965000,,,
band2,level,2,3,1648.682000,,,
band2,level,4,3,1816.814000,,,
band2,level,6,3,2076.487000,,,
band2,transition,,,,2_3,0_2,429.021099
band2,transition,,,,4_3,2_3,619.693527
band2,transition,,,,6_3,4_3,695.915190
band3,level,2,2,1188.322000,,,
band3,level,3,1,1265.756000,,,
band3,level,4,2,1368.312000,,,
band3,level,5,1,1496.446000,,,
band3,level,6,2,1647.670000,,,
band3,transition,,,,3_1,2_2,662.246339
band3,transition,,,,4_2,2_2,222.898900
band3,transition,,,,5_1,4_2,353.133341
band3,transition,,,,6_2,4_2,445.647807
band3,transition,,,,4_2,3_1,494.793320
band3,transition,,,,6_2,5_1,261.175081
band3,transition,,,,5_1,3_1,359.093962
interband,transition,,,,2_2,0_1,4.232761
interband,transition,,,,2_2,2_1,8.142211
interband,transition,,,,0_2,2_2,1.851257
interband,transition,,,,0_2,2_1,26.442898
