band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,144.054000,,,
band1,level,4,1,474.882000,,,
band1,level,6,1,983.311000,,,
band1,transition,,,,2_1,0_1,261.254690
band1,transition,,,,4_1,2_1,379.735835
band1,transition,,,,6_1,4_1,430.184977
band2,level,0,2,1236.147000,,,
band2,level,2,3,1405.384000,,,
band2,level,4,3,1777.490000,,,
band2,level,6,3,2325.833000,,,
band2,transition,,,,2_3,0_2,228.963611
band2,transition,,,,4_3,2_3,321.485071
band2,transition,,,,6_3,4_3,402.538412
band3,level,2,2,1349.971000,,,
band3,level,3,1,1514.445000,,,
band3,level,4,2,1690.128000,,,
band3,level,5,1,1959.057000,,,
band3,level,6,2,2197.993000,,,
band3,transition,,,,3_1,2_2,388.798943
band3,transition,,,,4_2,2_2,167.871209
band3,transition,,,,5_1,4_2,177.065140
band3,transition,,,,6_2,4_2,335.284345
band3,transition,,,,4_2,3_1,260.455285
band3,transition,,,,6_2,5_1,137.719083
band3,transition,,,,5_1,3_1,246.085584
interband,transition,,,,2_2,0_1,1.570279
interband,transition,,,,2_2,2_1,10.599979
interband,transition,,,,2_2,0_2,25.015147
interband,transition,,,,0_2,2_1,29.000387
