band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,888.983000,,,
band1,level,4,1,2432.423000,,,
band1,level,6,1,4600.500000,,,
band1,transition,,,,2_1,0_1,30.019085
band1,transition,,,,4_1,2_1,44.447410
band1,transition,,,,6_1,4_1,55.220486
band2,level,0,2,3825.015000,,,
band2,level,2,3,5031.843000,,,
band2,level,4,4,6751.684000,,,
band2,level,6,4,7951.250000,,,
band2,transition,,,,2_3,0_2,29.326294
band2,transition,,,,4_4,2_3,15.328137
band2,transition,,,,6_4,4_4,119.225926
band3,level,2,2,1662.105000,,,
band3,level,3,1,2665.144000,,,
band3,level,4,2,3691.051000,,,
band3,level,5,1,4777.811000,,,
band3,level,6,2,6405.955000,,,
band3,transition,,,,3_1,2_2,52.129138
band3,transition,,,,4_2,2_2,22.740450
band3,transition,,,,5_1,4_2,26.077253
band3,transition,,,,6_2,4_2,35.011546
band3,transition,,,,4_2,3_1,4.404136
band3,transition,,,,6_2,5_1,2.301085
band3,transition,,,,5_1,3_1,32.580918
interband,transition,,,,2_2,0_1,0.310744
interband,transition,,,,2_2,2_1,41.494781
interband,transition,,,,0_2,2_2,11.420028
interband,transition,,,,0_2,2_1,1.487692
