band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,110.178000,,,
band1,level,4,1,352.569000,,,
band1,level,6,1,714.408000,,,
band1,transition,,,,2_1,0_1,208.315401
band1,transition,,,,4_1,2_1,305.974457
band1,transition,,,,6_1,4_1,350.097772
band2,level,0,2,1085.091000,,,
band2,level,2,3,1371.403000,,,
band2,level,4,4,1831.753000,,,
band2,level,6,4,2267.371000,,,
band2,transition,,,,2_3,0_2,127.063426
band2,transition,,,,4_4,2_3,109.519406
band2,transition,,,,6_4,4_4,282.897152
band3,level,2,2,932.813000,,,
band3,level,3,1,1118.766000,,,
band3,level,4,2,1239.790000,,,
band3,level,5,1,1488.256000,,,
band3,level,6,2,1642.480000,,,
band3,transition,,,,3_1,2_2,278.374471
band3,transition,,,,4_2,2_2,126.933140
band3,transition,,,,5_1,4_2,145.939830
band3,transition,,,,6_2,4_2,245.261728
band3,transition,,,,4_2,3_1,211.610122
band3,transition,,,,6_2,5_1,117.532255
band3,transition,,,,5_1,3_1,192.650524
interband,transition,,,,2_2,0_1,2.856945
interband,transition,,,,2_2,2_1,13.850878
interband,transition,,,,0_2,2_2,115.864355
interband,transition,,,,0_2,2_1,17.344640
