nucleus  bet1  bet2  bet3  bet4  cos3g1  cos3g2  cos3g3  cos3g4
Hg172	0.10046308  0.14732362  0.23428583  0.19549213  0.38802200  0.39739719  0.76798947  0.12557740
Hg174	0.11933829  0.22238504  0.26936917  0.32818882  0.46627996  0.84927673  0.96557408  0.72383692
Hg176	0.15271559  0.28259786  0.28788918  0.32710780  0.76408313  0.96144606  1.01544234  0.68699482
Hg178	0.30430698  0.20910573  0.27520120  0.34571186  0.93275235  1.15654341  1.09313447  0.61710984
Hg180	0.32592675  0.23686513  0.28720465  0.35275793  0.93081712  0.99775161  1.12200843  0.74343401
Hg182	0.32654749  0.26179701  0.32920810  0.30767941  0.93663389  0.96203067  1.13960157  0.68718490
Hg184	0.32052577  0.23230821  0.34147345  0.27034987  0.93358905  0.74799125  1.07821291  0.66718187
Hg186	0.31278645  0.20620722  0.21296442  0.31450561  0.92710806  0.51858991  0.28819111  1.02848034
Hg188	0.29004647  0.20859168  0.18851023  0.29580673  0.91575061  0.70193177  0.12413126  0.99324237
Hg190	0.18572325  0.27187815  0.17167807  0.28365981  0.41499966  0.93073811  0.01034756  1.01196173
Hg192	0.15033952  0.17004166  0.22002386  0.24640057  0.19299736  0.31372049  0.76210144  0.88581868
Hg194	0.13292579  0.15459147  0.18514562  0.17418393  0.17238298  0.10098349  0.71637324  0.06390871
Hg196	0.12092950  0.14070839  0.16055547  0.16368460  0.19190830  0.02579264  0.70844998  0.04843594
Hg198	0.10836478  0.12763061  0.14441507  0.15096390  0.23980542  -0.02298512  0.71561779  -0.02499729
Hg200	0.09692813  0.11851196  0.12960969  0.14013679  0.24853402  -0.01568108  0.54239477  -0.04713304
Hg202	0.07682738  0.10113764  0.11652889  0.11946339  0.32187500  0.10696879  -0.00396144  0.48217535
Hg204	0.09272432  0.10043832  0.11338300  0.11898961  0.48963278  0.25003740  0.00079451  0.69621253
Hg206	0.07923704  0.10500634  0.12368500  0.13235506  0.37275268  0.04406781  -0.15624185  0.67971817
Hg208	0.06716382  0.09180852  0.11468012  0.11441330  0.32818809  0.30452274  0.12748865  0.66614423
Hg210	0.07269385  0.10374862  0.12025982  0.13104519  0.37863403  0.49370782  0.15305607  0.68238308
Hg212	0.10670573  0.13381016  0.13243758  0.16730139  0.38423661  0.66921263  0.15065936  0.50200897
Hg214	0.09922392  0.13800963  0.14769115  0.17662013  0.47836457  0.68681445  0.21472067  0.67415639
Hg216	0.11657877  0.15918884  0.17530657  0.20737615  0.56497270  0.80190150  0.23798258  0.80056153
Hg218	0.14056288  0.19887217  0.22512453  0.24363215  0.66949003  0.87887550  0.39082062  0.89798832
Hg220	0.19340009  0.22201884  0.26488905  0.27144862  0.80984379  0.98937674  0.42935266  0.99016262
Hg222	0.24687484  0.24526799  0.28217659  0.28465425  0.87736325  1.03885137  0.44768931  1.06580284
Hg224	0.27901070  0.25821568  0.29640660  0.29608602  0.91395132  0.90818119  0.56122312  0.72191299
Hg226	0.29268417  0.26592430  0.30774165  0.28493915  0.92711991  0.68975082  0.74474183  0.17436722
Hg228	0.29968203  0.26602311  0.31156137  0.28637327  0.93068788  0.61041263  0.81235018  0.34593083
Hg230	0.30364261  0.26438110  0.30744547  0.28914093  0.93242456  0.57179372  0.81215185  0.51574062
Hg232	0.30471175  0.26425981  0.29241332  0.29607286  0.93488703  0.60342222  0.71141472  0.70015729
Hg234	0.30277449  0.26231476  0.27727623  0.30367162  0.93531598  0.62811055  0.61340714  0.82450625
