nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Hg172	1.292417  2.631867  1.831216  2.475410  3.098162  2.828596  3.469934  3.581467
Hg174	0.928266  1.711659  1.159974  1.508034  1.900929  1.971312  2.313176  2.301141
Hg176	0.495364  0.853921  0.466975  0.935054  1.155094  1.281382  1.499431  1.492128
Hg178	0.151213  0.424219  0.426385  0.837587  1.114192  1.035957  1.273602  1.358603
Hg180	0.131233  0.411230  0.761600  0.914637  1.345876  1.165981  1.419142  1.523623
Hg182	0.128196  0.412030  0.935826  1.000347  1.471750  1.254273  1.632572  1.615691
Hg184	0.121080  0.392101  1.053396  1.022128  1.653014  1.406290  1.801493  1.683381
Hg186	0.118709  0.379576  0.941078  0.913792  1.785862  1.316839  1.834052  1.736963
Hg188	0.153641  0.454725  0.551099  0.742628  1.443499  1.089163  1.695085  1.500728
Hg190	0.339022  0.853384  0.678680  0.664912  1.285560  1.227936  1.752485  1.596044
Hg192	0.411532  1.058332  1.191069  1.129009  1.584658  1.737406  2.635709  2.081609
Hg194	0.468168  1.182390  1.334025  1.371464  2.095721  1.926170  2.938031  2.601230
Hg196	0.544793  1.332871  1.465925  1.528184  2.373507  2.168687  3.072909  2.849571
Hg198	0.658625  1.548320  1.620517  1.679698  2.714626  2.439792  3.347190  3.289363
Hg200	0.758776  1.789901  2.014243  2.020768  3.489656  2.864101  3.938799  4.050602
Hg202	1.259083  2.734481  2.447448  3.202035  4.499765  3.794382  5.066957  5.438455
Hg204	0.996753  2.375635  2.897719  3.731945  5.744432  4.458172  6.770550  6.632010
Hg206	3.222047  5.632860  4.347334  6.358179  7.411076  7.079143  9.003788  9.057747
Hg208	2.139175  4.096977  2.952654  4.219533  5.482004  4.714062  6.400919  6.490163
Hg210	1.607531  3.152228  2.708499  3.234998  4.743319  4.093596  5.108247  5.467727
Hg212	0.805913  1.763264  2.066497  1.769357  2.853384  2.998374  4.034178  3.827246
Hg214	0.993147  2.006640  1.927481  2.202581  3.405406  2.933232  3.715752  3.915123
Hg216	0.764001  1.545320  1.480965  1.745758  2.687444  2.333381  2.900020  3.091877
Hg218	0.556879  1.162964  1.158844  1.362230  2.115090  1.753023  2.310901  2.343177
Hg220	0.299227  0.706031  0.856370  1.006436  1.517558  1.326782  1.778187  1.785745
Hg222	0.173302  0.483954  0.888376  0.897764  1.265180  1.225525  1.751164  1.506651
Hg224	0.127897  0.393910  1.054759  0.952042  1.313212  1.341058  1.983623  1.500791
Hg226	0.113631  0.362574  1.198497  1.006000  1.467077  1.462379  2.075136  1.619378
Hg228	0.106620  0.343785  1.276808  1.013092  1.636691  1.529353  2.109350  1.765056
Hg230	0.102567  0.331421  1.311652  0.995402  1.814688  1.558614  2.103981  1.849812
Hg232	0.104113  0.336053  1.264167  0.966764  1.909981  1.510990  2.048091  1.829451
