band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,299.227000,,,
band1,level,4,1,706.031000,,,
band1,level,6,1,1207.775000,,,
band1,transition,,,,2_1,0_1,92.661104
band1,transition,,,,4_1,2_1,169.661137
band1,transition,,,,6_1,4_1,223.497826
band2,level,0,2,856.370000,,,
band2,level,2,3,1326.782000,,,
band2,level,4,3,1770.682000,,,
band2,level,6,3,2245.240000,,,
band2,transition,,,,2_3,0_2,91.842086
band2,transition,,,,4_3,2_3,201.663619
band2,transition,,,,6_3,4_3,296.513214
band3,level,2,2,1006.436000,,,
band3,level,3,1,1346.050000,,,
band3,level,4,2,1504.233000,,,
band3,level,5,1,1846.330000,,,
band3,level,6,2,2024.334000,,,
band3,transition,,,,3_1,2_2,175.208354
band3,transition,,,,4_2,2_2,85.130882
band3,transition,,,,5_1,4_2,105.967754
band3,transition,,,,6_2,4_2,182.685326
band3,transition,,,,4_2,3_1,120.317377
band3,transition,,,,6_2,5_1,83.172169
band3,transition,,,,5_1,3_1,147.449495
interband,transition,,,,2_2,0_1,1.373267
interband,transition,,,,2_2,2_1,45.305991
interband,transition,,,,2_2,0_2,6.489250
interband,transition,,,,0_2,2_1,127.500703
