nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Hg172	0.73020592  1.57028004  3.97122386  2.76497298 0.24211649  0.78197067  6.07773581  0.57736152
Hg174	1.04637259  3.63360638  5.33116988  7.91360377 0.49908703  5.88242021  11.88555267  16.11395636
Hg176	1.73984838  5.95775136  6.18294416  7.98227046 1.75350787  13.98132992  15.61163011  15.49327112
Hg178	7.01312476  3.31146062  5.73572581  9.05141156 17.32342247  6.96933487  15.01606574  16.80493885
Hg180	8.16578160  4.31280700  6.34075095  9.56558019 21.72005900  8.93639737  17.91460195  21.99426233
Hg182	8.31857517  5.34669763  8.45468228  7.38504454 22.47208076  11.89371025  28.01553860  13.79123901
Hg184	8.13225031  4.27182987  9.22993642  5.78545029 21.65069570  6.60415774  30.23448604  9.28431762
Hg186	7.85671238  3.41470142  3.64216052  7.94331537 20.41698635  3.27230037  2.00317648  23.02495038
Hg188	6.85288400  3.54431389  2.89472981  7.12778053 16.42809811  4.68374415  0.61135465  18.90108406
Hg190	2.84969530  6.10681130  2.43498068  6.64754792 1.99638997  14.04588959  0.03931710  17.34428103
Hg192	1.89354531  2.42236763  4.05572901  5.08642676 0.50288066  1.18277726  6.22466779  10.16164524
Hg194	1.50088897  2.03002358  2.91176913  2.57718866 0.31696933  0.29208012  3.55938330  0.26441093
Hg196	1.25931303  1.70494027  2.21982827  2.30719762 0.27120289  0.05741951  2.34308614  0.16974419
Hg198	1.02500095  1.42186288  1.82042587  1.98927222 0.24885444  -0.03897027  1.75768330  -0.07013491
Hg200	0.83112694  1.24248764  1.48608159  1.73728905 0.18831585  -0.02171771  0.98260614  -0.10792787
Hg202	0.52912908  0.91697012  1.21729756  1.27937906 0.12388813  0.09392687  -0.00532045  0.69775645
Hg204	0.78094772  0.91629117  1.16769787  1.28603488 0.33791185  0.21930838  0.00100253  1.01536212
Hg206	0.57775078  1.01464714  1.40772587  1.61200028 0.16369356  0.04503954  -0.26096034  1.39115830
Hg208	0.42048420  0.78567838  1.22590019  1.22020238 0.08948440  0.21207376  0.17304306  0.89787540
Hg210	0.49890222  1.01621315  1.36540427  1.62129591 0.13342672  0.50576319  0.24419819  1.40871026
Hg212	1.08864013  1.71193419  1.67699348  2.67613493 0.43644071  1.49897617  0.32718485  2.19772568
Hg214	0.95318856  1.84401691  2.11181087  3.02013586 0.44517138  1.71983497  0.65895594  3.53834665
Hg216	1.33220701  2.48403648  3.01251438  4.21551244 0.86873043  3.13948188  1.24433944  6.92899547
Hg218	1.96069953  3.92480214  5.02939048  5.89032029 1.83806422  6.83367012  4.40809052  12.83745859
Hg220	3.75726046  4.95150955  7.04832638  7.40173023 5.89804676  10.90104487  8.03420976  19.93913921
Hg222	6.19657963  6.11617805  8.09543775  8.23822639 13.53341781  15.71352421  10.31186527  25.20156189
Hg224	8.01001797  6.86051940  9.03998098  9.02043685 20.71921509  16.31954320  15.25410850  19.55807984
Hg226	8.91943757  7.36300419  9.86078650  8.45362982 24.69688128  13.78081169  23.06073147  4.28577822
Hg228	9.46154954  7.45554853  10.22652519  8.63984270 27.08616122  12.42633083  26.56656583  8.78512656
Hg230	9.82706039  7.45004697  10.07475215  8.91081291 28.72427945  11.62727371  25.97100730  13.71852214
Hg232	10.01129166  7.52963549  9.21947142  9.45167813 29.61381127  12.46758175  19.91507208  20.34506106
Hg234	9.99817593  7.50460205  8.38508559  10.05751328 29.56919615  12.91301301  14.89395628  26.29843318
Hg236	9.83438856  7.18655833  8.30067834  9.87379633 28.80075360  12.00192291  16.35372123  25.70209752
Hg238	9.47778430  6.65692753  8.38207272  9.50198533 27.08604186  9.94601564  18.61228330  24.11420688
Hg240	8.68718902  6.16390411  8.71473042  8.84842539 23.21315077  8.14118960  22.13322679  20.90313520
Hg242	7.45502935  6.04793723  8.92755045  7.49271760 17.24479490  8.61452665  24.50876706  14.50233320
Hg244	6.04594643  6.27718546  6.66740595  7.26540262 10.71526365  11.13836958  13.70182790  15.30898253
Hg246	4.75466267  6.35111777  4.71811153  7.04451882 5.67812856  12.97800510  5.59910169  15.46703893
Hg248	3.70419195  5.89885980  4.07816613  7.00474036 2.84816909  12.07713091  3.68672556  16.19001807
Hg250	2.95153425  3.76152221  4.58975507  4.70573333 1.65778993  3.66036069  7.62317259  4.06518951
Hg252	2.43344002  2.73006479  4.06500930  4.01171095 1.24425896  0.88974308  6.78344356  2.93430360
Hg254	1.97580053  2.36932554  3.40781654  3.44701845 1.05984797  0.77701384  5.01551030  1.78280555
Hg256	1.49945897  2.14601354  2.82617544  3.20364172 0.84402596  0.83150527  3.03226573  2.32454401
Hg258	1.08513388  1.86663663  2.40582038  2.86148221 0.58725206  0.82836063  0.74342236  3.45196790
Hg260	0.86138657  1.51566155  2.14824809  2.30778201 0.44627744  0.65370133  0.49151297  2.60215409
Hg262	0.72745331  1.28250295  1.82505521  2.06525675 0.37124845  0.46804036  0.17592367  2.16618165
Hg264	0.67543170  1.36629760  2.11598456  2.07216852 0.22075490  0.39453050  0.24747840  2.06966841
nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Hg172	0.73135460  1.58057515  3.99038129  2.85652602 0.24571522  0.85130753  6.22954751  1.38724491
Hg174	1.05262951  3.64066967  5.34366321  7.96446491 0.51392750  5.90934794  11.97743094  16.55997260
Hg176	1.75087526  5.96654361  6.19542992  8.05730485 1.77807656  14.02605414  15.75928986  15.70283131
Hg178	7.01711245  3.33380391  5.75748267  9.09941019 17.36202127  7.04724570  15.14615997  17.21381377
Hg180	8.16848214  4.33795079  6.36973068  9.60354972 21.75057175  8.94771244  18.07491276  22.23282103
Hg182	8.32070777  5.38307476  8.47560379  7.43057533 22.48590971  11.87725527  27.84213543  14.09220745
Hg184	8.13605122  4.29860366  9.25163932  5.85955429 21.67243489  6.71306713  30.03611446  9.62752900
Hg186	7.86144731  3.43515148  3.75279289  7.96326617 20.44123687  3.36814698  2.50345111  22.93016145
