nucleus  rho21  rho31  rho41  rho32  rho42 rho43
Hg172	0.019841 0.000000  0.000045  0.085059  0.016216 0.012582
Hg174	0.043599 0.003536  0.000411  0.240575  0.022575 0.372871
Hg176	0.161806 0.003764  0.006649  0.421110  0.033803 0.354660
Hg178	0.312432 0.087329  0.064187  0.403354  0.014447 0.086004
Hg180	0.190215 0.048035  0.130212  0.502615  0.030571 0.005141
Hg182	0.167172 0.106218  0.057134  0.518688  0.042704 0.131985
Hg184	0.100207 0.132128  0.044867  0.309166  0.096519 0.103087
Hg186	0.079829 0.024843  0.156305  0.150717  0.143524 0.029631
Hg188	0.167660 0.019221  0.146171  0.163376  0.129802 0.002604
Hg190	0.091103 0.112213  0.000806  0.019755  0.294083 0.005217
Hg192	0.128933 0.001225  0.001324  0.016488  0.148779 0.068554
Hg194	0.084104 0.008125  0.002066  0.005486  0.186801 0.000199
Hg196	0.049132 0.013310  0.000297  0.002076  0.133868 0.003807
Hg198	0.033390 0.011333  0.000477  0.000456  0.093693 0.001119
Hg200	0.025188 0.005448  0.000326  0.003034  0.069143 0.000546
Hg202	0.015225 0.000303  0.000613  0.031827  0.014907 0.009425
Hg204	0.016229 0.000082  0.003796  0.039078  0.003022 0.008147
Hg206	0.018577 0.001495  0.002208  0.051096  0.000696 0.006620
Hg208	0.008644 0.000129  0.000005  0.028596  0.001180 0.000056
Hg210	0.014206 0.000027  0.000122  0.011419  0.037279 0.003767
Hg212	0.034816 0.004886  0.000184  0.004298  0.085171 0.013316
Hg214	0.034836 0.000889  0.000118  0.001818  0.093597 0.007303
Hg216	0.054712 0.001236  0.000117  0.007589  0.132708 0.020660
Hg218	0.088254 0.001075  0.001444  0.045581  0.178155 0.073767
Hg220	0.182379 0.005523  0.000121  0.065512  0.323606 0.046789
Hg222	0.219543 0.024571  0.008167  0.012231  0.488706 0.022523
Hg224	0.143071 0.098264  0.018239  0.007739  0.336417 0.012603
Hg226	0.069828 0.169317  0.000672  0.020659  0.017424 0.008844
Hg228	0.052269 0.179251  0.000014  0.010811  0.001773 0.004589
Hg230	0.042884 0.176683  0.002613  0.005463  0.016649 0.002353
Hg232	0.040190 0.129798  0.048114  0.000231  0.038373 0.003315
Hg234	0.040281 0.050799  0.123516  0.020866  0.030475 0.003285
Hg236	0.046768 0.043087  0.129199  0.043374  0.025629 0.002812
Hg238	0.053246 0.046667  0.127333  0.057048  0.021067 0.001770
Hg240	0.059230 0.072095  0.097534  0.054260  0.019747 0.005077
Hg242	0.065952 0.102688  0.051129  0.043422  0.033971 0.001041
Hg244	0.060484 0.142339  0.001064  0.002976  0.081173 0.020453
Hg246	0.042147 0.136734  0.000200  0.000012  0.078555 0.000462
Hg248	0.022937 0.124113  0.000357  0.001695  0.098610 0.000321
Hg250	0.011280 0.101305  0.000080  0.017421  0.083475 0.133039
Hg252	0.064113 0.025304  0.000080  0.000168  0.161543 0.016272
Hg254	0.062522 0.012160  0.000131  0.000958  0.131360 0.003763
Hg256	0.051331 0.006016  0.000371  0.013286  0.090843 0.000144
Hg258	0.032048 0.001656  0.000745  0.053003  0.023516 0.004227
Hg260	0.018151 0.000673  0.000168  0.042908  0.005471 0.005545
Hg262	0.009655 0.000761  0.000146  0.026649  0.000858 0.004099
Hg264	0.006374 0.000990  0.000002  0.025978  0.000426 0.002872
