band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,666.868000,,,
band1,level,4,1,1539.737000,,,
band1,level,6,1,2650.868000,,,
band1,transition,,,,2_1,0_1,46.377404
band1,transition,,,,4_1,2_1,96.147489
band1,transition,,,,6_1,4_1,137.149839
band2,level,0,2,947.047000,,,
band2,level,2,3,1887.399000,,,
band2,level,4,4,3102.013000,,,
band2,level,6,4,4431.111000,,,
band2,transition,,,,2_3,0_2,34.333026
band2,transition,,,,4_4,2_3,44.131542
band2,transition,,,,6_4,4_4,72.826895
band3,level,2,2,1199.010000,,,
band3,level,3,1,1853.066000,,,
band3,level,4,2,2224.393000,,,
band3,level,5,1,2891.966000,,,
band3,level,6,2,3469.613000,,,
band3,transition,,,,3_1,2_2,91.828115
band3,transition,,,,4_2,2_2,53.583256
band3,transition,,,,5_1,4_2,56.247194
band3,transition,,,,6_2,4_2,99.185982
band3,transition,,,,4_2,3_1,39.016954
band3,transition,,,,6_2,5_1,25.927546
band3,transition,,,,5_1,3_1,82.445328
interband,transition,,,,2_2,0_1,0.191149
interband,transition,,,,2_2,2_1,76.010401
interband,transition,,,,2_2,0_2,9.049278
interband,transition,,,,0_2,2_1,101.518776
