nucleus  B(21+ -> 01+)  B(22+ -> 02+)  B(23+ -> 03+)  B(24+ -> 04+)
Mg20	0.004732  0.000052  0.000960  0.000327
Mg22	0.003370  0.000020  0.000418  0.000006
Mg24	0.002733  0.000150  0.000705  0.000288
Mg26	0.003220  0.000012  0.000061  0.000258
Mg28	0.003708  0.000458  0.000093  0.000360
Mg30	0.003723  0.000345  0.000003  0.000045
Mg32	0.004473  0.000043  0.000640  0.000000
Mg34	0.004717  0.000061  0.000263  0.000003
Mg36	0.006135  0.000010  0.001156  0.000066
Mg38	0.007086  0.000499  0.000274  0.000006
Mg40	0.007067  0.001210  0.000015  0.000000
Mg42	0.006689  0.000328  0.000549  0.000612
Mg44	0.006167  0.000054  0.000010  0.000056
Mg46	0.005830  0.000084  0.000025  0.000050
nucleus  B(21+ -> 01+)  B(23+ -> 02+)  B(22+ -> 21+)
