nucleus  bet1  bet2  bet3  bet4  cos3g1  cos3g2  cos3g3  cos3g4
Mg20	0.51400302  0.54539451  0.53511553  0.42031933  0.59296254  0.41009117  0.92719028  0.00899868
Mg22	0.40796229  0.40717444  0.46082412  0.43670435  0.67769437  0.78213023  0.29381670  -0.12718000
Mg24	0.35174112  0.42595196  0.38426397  0.41263157  0.60882026  0.11258272  0.25512818  -0.02146514
Mg26	0.35987856  0.43351351  0.47281052  0.40984119  0.82256699  0.75620478  0.81421874  0.43903427
Mg28	0.35996633  0.44049806  0.41532077  0.37942881  0.78762361  1.01411579  0.48184014  0.95395376
Mg30	0.34308091  0.41202434  0.39893749  0.38728955  0.81241382  0.89307026  0.61860838  0.79461031
Mg32	0.36341537  0.41032700  0.35407601  0.31444138  0.87397340  0.94204316  0.64383816  1.09164429
Mg34	0.35646376  0.36917292  0.41575293  0.37610572  0.88867558  1.00060761  0.61168607  0.99655833
Mg36	0.39379888  0.36481310  0.40671985  0.36910886  0.92438193  1.00091356  0.65419676  0.90282395
Mg38	0.40734921  0.41370583  0.38085121  0.42110049  0.88572592  0.75432363  0.88861378  0.53790508
Mg40	0.39345827  0.41083111  0.37842626  0.41296685  0.84641689  0.78392236  0.86147908  0.54302406
Mg42	0.37064754  0.37952729  0.39022027  0.35142582  0.85242592  0.99715742  0.72419651  0.82118406
Mg44	0.34709013  0.35046593  0.39683358  0.34595464  0.85141438  0.90432227  0.82732686  0.85077910
Mg46	0.32995142  0.34709315  0.38534890  0.34013123  0.84486622  0.88153743  0.82467468  0.80065050
nucleus  bet1  bet2  bet3  bet4  cos3g1  cos3g2  cos3g3  cos3g4
Mg20	0.51437589  0.54615295  0.53563414  0.42549485  0.59379806  0.41180558  0.93164504  0.11891647
Mg22	0.40817384  0.40788512  0.46159575  0.44402621  0.68085108  0.79729366  0.30257505  -0.02474975
Mg24	0.35302549  0.42771374  0.38741615  0.41438661  0.62987386  0.12984827  0.30430599  0.00383255
Mg26	0.36001750  0.43397027  0.47357382  0.41990964  0.82326415  0.75660801  0.81898335  0.50421370
Mg28	0.36016119  0.44089811  0.41582472  0.38104510  0.78823735  1.01691113  0.48961533  0.97807265
Mg30	0.34323988  0.41224776  0.39921298  0.38941085  0.81366881  0.89411274  0.62291098  0.81345324
Mg32	0.36353032  0.41216617  0.35443074  0.32457749  0.87334341  0.94320006  0.64474118  1.01325763
Mg34	0.35652661  0.36934097  0.41614709  0.37735030  0.88850419  1.00270891  0.61364407  1.01824147
Mg36	0.39389800  0.36516128  0.40726283  0.37349939  0.92540064  1.00561860  0.66083559  1.01603281
Mg38	0.40739731  0.41392702  0.38139286  0.42531857  0.88578642  0.75694364  0.89455510  0.58224653
Mg40	0.39350935  0.41099867  0.37867005  0.41948735  0.84681649  0.78457916  0.86180461  0.63441857
Mg42	0.37068680  0.37974611  0.39031619  0.35403966  0.85229018  0.99719650  0.72715663  0.85379086
Mg44	0.34713418  0.35068476  0.39697495  0.34740575  0.85185308  0.90600952  0.83005044  0.87417707
Mg46	0.33000479  0.34737225  0.38552926  0.34143157  0.84575591  0.88358918  0.82776601  0.82643201
