nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Mg20	5.434694  10.918365  7.684722  7.470623  18.763850  13.256314  30.568665  22.248317
Mg22	3.609613  8.778373  10.340970  9.811520  12.483124  16.506586  24.229134  18.648928
Mg24	3.120451  8.231194  12.198273  9.601585  15.561750  15.295498  17.999613  16.854392
Mg26	3.431431  8.576759  7.222777  6.415016  9.273444  10.950006  17.625820  13.350537
Mg28	2.866746  6.868822  5.155040  6.450177  8.912053  8.728737  11.655745  12.725255
Mg30	3.035806  7.151524  5.855498  6.701556  10.372617  9.260906  14.437876  13.049507
Mg32	1.729942  4.566585  4.672316  5.428920  5.732089  6.837362  9.506161  9.188242
Mg34	2.243849  5.264795  4.901854  6.572586  9.861150  8.605031  12.720404  12.631439
Mg36	1.514441  3.999220  6.871975  5.674285  8.585848  9.670896  15.998350  11.486400
Mg38	1.290962  3.515814  6.623537  3.661500  7.883664  8.810588  14.764978  10.302957
Mg40	1.442446  3.725759  5.320041  3.293409  7.320051  7.741289  14.624885  9.603185
Mg42	1.670669  4.130113  6.319876  3.679775  6.721969  8.841380  14.213902  9.072521
Mg44	2.015323  4.705625  5.597651  4.237931  8.686811  8.533981  12.726721  11.008589
Mg46	2.305474  5.154173  5.422333  4.728527  9.473018  8.543995  12.613690  11.495203
nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Mg20	5.434694  10.918365  7.684722  7.470623  18.763850  13.256314  30.568665  22.248317
Mg22	3.609613  8.778373  10.340970  9.811520  12.483124  16.506586  24.229134  18.648928
Mg24	3.120451  8.231194  12.198273  9.601585  15.561750  15.295498  17.999613  16.854392
Mg26	3.431431  8.576759  7.222777  6.415016  9.273444  10.950006  17.625820  13.350537
Mg28	2.866746  6.868822  5.155040  6.450177  8.912053  8.728737  11.655745  12.725255
Mg30	3.035806  7.151524  5.855498  6.701556  10.372617  9.260906  14.437876  13.049507
Mg32	1.729942  4.566585  4.672316  5.428920  5.732089  6.837362  9.506161  9.188242
Mg34	2.243849  5.264795  4.901854  6.572586  9.861150  8.605031  12.720404  12.631439
Mg36	1.514441  3.999220  6.871975  5.674285  8.585848  9.670896  15.998350  11.486400
Mg38	1.290962  3.515814  6.623537  3.661500  7.883664  8.810588  14.764978  10.302957
Mg40	1.442446  3.725759  5.320041  3.293409  7.320051  7.741289  14.624885  9.603185
Mg42	1.670669  4.130113  6.319876  3.679775  6.721969  8.841380  14.213902  9.072521
Mg44	2.015323  4.705625  5.597651  4.237931  8.686811  8.533981  12.726721  11.008589
Mg46	2.305474  5.154173  5.422333  4.728527  9.473018  8.543995  12.613690  11.495203
