band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,2305.474000,,,
band1,level,4,1,5154.173000,,,
band1,level,6,1,8679.817000,,,
band1,transition,,,,2_1,0_1,5.954391
band1,transition,,,,4_1,2_1,10.014598
band1,transition,,,,6_1,4_1,13.110024
band2,level,0,2,5422.333000,,,
band2,level,2,3,8543.995000,,,
band2,level,4,4,12093.371000,,,
band2,level,6,4,16648.634000,,,
band2,transition,,,,2_3,0_2,5.658575
band2,transition,,,,4_4,2_3,8.821391
band2,transition,,,,6_4,4_4,11.164182
band3,level,2,2,4728.527000,,,
band3,level,3,1,7164.880000,,,
band3,level,4,2,8151.086000,,,
band3,level,5,1,10539.337000,,,
band3,level,6,2,12139.153000,,,
band3,transition,,,,3_1,2_2,11.764396
band3,transition,,,,4_2,2_2,5.674495
band3,transition,,,,5_1,4_2,5.970685
band3,transition,,,,6_2,4_2,9.306307
band3,transition,,,,4_2,3_1,2.712396
band3,transition,,,,6_2,5_1,2.051375
band3,transition,,,,5_1,3_1,8.241677
interband,transition,,,,2_2,0_1,0.269773
interband,transition,,,,2_2,2_1,8.173471
interband,transition,,,,0_2,2_2,0.429212
interband,transition,,,,0_2,2_1,4.665177
