nucleus  rho21  rho31  rho41  rho32  rho42 rho43
Mg20	0.154594 0.008513  0.010269  0.023651  0.053521 0.039312
Mg22	0.079726 0.045590  0.002835  0.026740  0.121352 0.110522
Mg24	0.077163 0.000550  0.009649  0.249103  0.230966 0.124971
Mg26	0.197632 0.002030  0.000447  0.010280  0.180227 0.070897
Mg28	0.071162 0.020445  0.001491  0.011006  0.087143 0.008515
Mg30	0.033884 0.006371  0.000001  0.000952  0.060800 0.007833
Mg32	0.011677 0.006034  0.000701  0.006349  0.027552 0.000480
Mg34	0.020946 0.001712  0.000327  0.005205  0.027479 0.000006
Mg36	0.028015 0.000477  0.002346  0.004379  0.031881 0.001314
Mg38	0.000000 0.036816  0.000499  0.005961  0.018290 0.007835
Mg40	0.000003 0.039614  0.000016  0.001496  0.009330 0.005745
Mg42	0.027186 0.008621  0.000501  0.001425  0.030280 0.017929
Mg44	0.029428 0.000064  0.000036  0.000278  0.041881 0.000944
Mg46	0.021778 0.000010  0.000052  0.000095  0.033623 0.000946
