band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,2290.642000,,,
band1,level,4,1,4348.417000,,,
band1,level,6,1,6145.067000,,,
band1,transition,,,,2_1,0_1,14.682836
band1,transition,,,,4_1,2_1,30.483443
band1,transition,,,,6_1,4_1,56.272746
band2,level,0,2,3188.394000,,,
band2,level,2,3,4730.352000,,,
band2,level,4,3,6558.958000,,,
band2,level,6,3,8256.462000,,,
band2,transition,,,,2_3,0_2,16.971735
band2,transition,,,,4_3,2_3,35.120195
band2,transition,,,,6_3,4_3,65.073442
band3,level,2,2,3995.282000,,,
band3,level,3,1,5893.564000,,,
band3,transition,,,,3_1,2_2,26.303236
interband,transition,,,,2_2,0_1,0.031887
interband,transition,,,,2_2,2_1,24.806809
interband,transition,,,,2_2,0_2,10.009371
interband,transition,,,,0_2,2_1,41.169712
