nucleus  B(21+ -> 01+)  B(22+ -> 02+)  B(23+ -> 03+)  B(24+ -> 04+)
Nd124	0.964050  0.001934  0.030011  0.004607
Nd126	0.929688  0.005648  0.029362  0.001643
Nd128	0.934182  0.970257  0.050448  0.000066
Nd130	0.863897  0.778855  0.112654  0.000035
Nd132	0.576589  0.449238  0.119598  0.037813
Nd134	0.391181  0.043020  0.032529  0.001487
Nd136	0.252486  0.000222  0.020055  0.039183
Nd138	0.173681  0.001673  0.025202  0.007734
Nd140	0.019766  0.000004  0.048441  0.051999
Nd142	0.091622  0.008396  0.009360  0.005155
Nd144	0.078939  0.029249  0.042604  0.009158
Nd146	0.169835  0.017500  0.004710  0.084745
Nd148	0.308897  0.129290  0.000133  0.251589
Nd150	0.620111  0.576467  0.085472  0.013434
Nd152	0.793308  0.619929  0.054343  0.006094
Nd154	0.858400  0.056006  0.046951  0.001143
Nd156	0.907023  0.010003  0.036834  0.000208
Nd158	0.975193  0.015360  0.029803  0.012077
Nd160	1.027110  0.196403  0.061701  0.031849
Nd162	1.031439  0.966269  0.049415  0.039760
Nd164	0.975778  0.246896  0.105555  0.001582
Nd166	0.883954  0.107669  0.180312  0.001894
Nd168	0.781991  0.142490  0.196427  0.014336
Nd170	0.618826  0.154766  0.176493  0.024580
Nd172	0.480218  0.118558  0.098892  0.052626
Nd174	0.377596  0.078232  0.014060  0.015284
Nd176	0.020537  0.006120  0.043361  0.050511
Nd178	0.202466  0.002059  0.016631  0.028865
Nd180	0.156229  0.000103  0.011201  0.013249
Nd182	0.112481  0.000145  0.005542  0.013710
Nd184	0.078248  0.006337  0.062400  0.003223
Nd186	0.087655  0.000004  0.003575  0.140204
Nd188	0.060427  0.019456  0.081995  0.006882
Nd190	0.092923  0.017471  0.063729  0.003060
Nd192	0.145465  0.015117  0.004004  0.050649
Nd194	0.201290  0.024473  0.000565  0.001572
Nd196	0.270409  0.060162  0.022654  0.000672
Nd198	0.346171  0.152939  0.144534  0.005722
Nd200	0.406407  0.212047  0.114778  0.069689
Nd202	0.442219  0.260285  0.104491  0.091320
Nd204	0.452633  0.310947  0.107571  0.089524
Nd206	0.446713  0.356973  0.110787  0.091593
Nd208	0.437514  0.388326  0.106608  0.104354
Nd210	0.430802  0.398258  0.101993  0.114419
Nd212	0.426546  0.390540  0.101128  0.100400
Nd214	0.420333  0.365583  0.119818  0.049430
nucleus  B(21+ -> 01+)  B(23+ -> 02+)  B(22+ -> 21+)
