band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,595.752000,,,
band1,level,4,1,1366.377000,,,
band1,level,6,1,2276.679000,,,
band1,transition,,,,2_1,0_1,47.522521
band1,transition,,,,4_1,2_1,81.102895
band1,transition,,,,6_1,4_1,110.289227
band2,level,0,2,1618.495000,,,
band2,level,2,3,2281.700000,,,
band2,level,4,4,3009.737000,,,
band2,level,6,3,3805.904000,,,
band2,transition,,,,2_3,0_2,58.521151
band2,transition,,,,4_4,2_3,108.711949
band2,transition,,,,6_3,4_4,154.575337
band3,level,2,2,1239.677000,,,
band3,level,3,1,1904.209000,,,
band3,level,4,2,2164.514000,,,
band3,level,5,1,2838.266000,,,
band3,level,6,2,3179.599000,,,
band3,transition,,,,3_1,2_2,88.450722
band3,transition,,,,4_2,2_2,49.714440
band3,transition,,,,5_1,4_2,41.730183
band3,transition,,,,6_2,4_2,86.744337
band3,transition,,,,4_2,3_1,10.856473
band3,transition,,,,6_2,5_1,8.169153
band3,transition,,,,5_1,3_1,69.680718
interband,transition,,,,2_2,0_1,0.869762
interband,transition,,,,2_2,2_1,72.043562
interband,transition,,,,0_2,2_2,12.045150
interband,transition,,,,0_2,2_1,46.897157
