nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Nd124	4.95565608  5.76409174  4.56691815  5.26023414 10.70529588  14.17644190  9.33729896  11.69325885
Nd126	4.78149305  5.92709669  4.02809147  4.81529081 10.13770538  14.73622369  6.84198072  10.54023894
Nd128	4.79673272  5.15151892  3.65342478  4.38788295 10.28653040  11.96118425  5.81675932  8.95733656
Nd130	4.43272547  4.29744935  3.81762503  3.44908814 9.16258194  8.96744566  6.98513998  5.62432278
Nd132	2.94086862  4.49422060  3.32356487  3.62071351 4.54425470  9.71272842  5.33174665  7.08256819
Nd134	1.98353720  3.78351169  2.16344132  4.16138545 1.88963531  7.14236567  1.12142392  9.32223306
Nd136	1.27287229  1.93490477  2.02613884  2.84292609 0.90545778  2.13677050  1.80054584  4.88658343
Nd138	0.87342799  1.25045940  1.67043936  1.93930217 0.48567484  0.84985101  1.61057225  2.26086087
Nd140	0.18261879  0.86281772  1.01974665  1.32993837 0.04783284  0.45396703  0.16107465  1.31391471
Nd142	0.50935979  0.89249739  1.11166588  1.02987143 0.10094158  0.20148001  0.83933855  -0.15550952
Nd144	0.39920870  0.77900555  1.31132374  1.09379674 0.10713057  0.40970619  1.29814435  0.06041299
Nd146	0.86093839  1.38492231  1.44989620  2.36669575 0.48250437  1.47969070  0.76565996  3.53957995
Nd148	1.58839399  2.60837791  1.90613570  3.32707838 1.59975472  4.37612942  1.17966821  6.56227384
Nd150	3.20222729  3.31750160  2.50486065  2.74419425 5.51800982  6.28733152  2.71832544  4.41472046
Nd152	4.08366622  3.36449183  2.93358620  3.39498096 7.99323374  6.23939395  3.74682478  5.92961208
Nd154	4.41928091  3.98842778  3.15840080  3.83728602 8.96351071  8.05554027  4.03599563  6.97742941
Nd156	4.66253514  4.42516162  3.53924927  4.34665750 9.68991101  9.39173380  5.10193207  8.34861546
Nd158	4.99826597  4.37276277  4.38233334  3.88670526 10.88474544  9.06624381  8.03628798  6.34613792
Nd160	5.25053374  4.86604450  4.62862876  3.77001830 11.79152607  10.76743195  9.13835020  5.61556628
Nd162	5.28151299  5.29750474  4.18244215  3.78522105 11.89403932  12.36660162  7.42484810  5.46583945
Nd164	5.01558460  5.15252140  3.95658441  3.97996267 10.91140814  11.74749649  6.55215976  6.15967230
Nd166	4.55841144  4.50473053  4.38646060  3.82055470 9.27218412  9.14659118  8.38027190  5.97152589
Nd168	4.02765935  3.76974955  4.71477610  3.65357026 7.49121094  6.42987091  9.88921608  5.72946728
Nd170	3.15156497  3.69671581  4.16038499  3.81352778 4.75198862  6.49470406  7.92389137  7.00318010
Nd172	2.42337785  3.33006764  3.20136222  4.32136956 2.79832895  5.59407851  4.50825701  9.61336680
Nd174	1.91693241  2.82553177  2.11195993  4.70455805 1.81169592  4.54709578  1.26948780  10.81395181
