nucleus  rho21  rho31  rho41  rho32  rho42 rho43
Nd124	0.324989 0.012821  0.015669  0.320604  0.379890 0.043949
Nd126	0.282019 0.026022  0.035221  0.182758  0.426644 0.002127
Nd128	0.320019 0.042997  0.005928  0.140262  0.358049 0.002990
Nd130	0.290769 0.091109  0.005694  0.197657  0.255835 0.009885
Nd132	0.206114 0.056874  0.020449  0.156270  0.334755 0.111287
Nd134	0.058436 0.057645  0.011072  0.008705  0.306399 0.011386
Nd136	0.072324 0.000319  0.000275  0.010312  0.180041 0.046256
Nd138	0.039723 0.000242  0.000018  0.008466  0.111047 0.043210
Nd140	0.003953 0.000200  0.000093  0.018908  0.018811 0.000270
Nd142	0.012898 0.000156  0.004530  0.006543  0.038053 0.000035
Nd144	0.013156 0.000351  0.000272  0.030004  0.010827 0.000000
Nd146	0.033062 0.002987  0.001027  0.008190  0.091638 0.005247
Nd148	0.066848 0.011934  0.001139  0.030876  0.191435 0.011738
Nd150	0.159786 0.018608  0.000147  0.049353  0.178751 0.006229
Nd152	0.120652 0.025641  0.002505  0.059972  0.194170 0.017331
Nd154	0.129334 0.024684  0.000000  0.068660  0.191318 0.002007
Nd156	0.129078 0.025145  0.000490  0.071800  0.166841 0.000720
Nd158	0.111176 0.058612  0.000403  0.044460  0.118905 0.007010
Nd160	0.119939 0.045334  0.003934  0.098588  0.067663 0.026804
Nd162	0.142319 0.030675  0.007857  0.118913  0.005077 0.057341
Nd164	0.135520 0.032667  0.015145  0.123557  0.034244 0.017195
Nd166	0.105687 0.050918  0.018161  0.136114  0.090626 0.001198
Nd168	0.078684 0.076887  0.015980  0.095761  0.098482 0.018222
Nd170	0.056210 0.066734  0.011995  0.070591  0.124304 0.043817
Nd172	0.026853 0.056770  0.004422  0.022219  0.155409 0.068853
Nd174	0.031920 0.034598  0.000042  0.000293  0.153575 0.011803
Nd176	0.020711 0.013526  0.000157  0.004035  0.089934 0.000181
Nd178	0.028538 0.000097  0.000085  0.001845  0.074480 0.008175
Nd180	0.018221 0.000004  0.000098  0.000195  0.046938 0.006043
Nd182	0.010204 0.000138  0.000116  0.000138  0.029770 0.001138
Nd184	0.003659 0.000436  0.000084  0.005193  0.011228 0.003741
Nd186	0.003001 0.000422  0.000091  0.002247  0.009307 0.000309
Nd188	0.004890 0.000164  0.000409  0.014528  0.005796 0.000531
Nd190	0.013700 0.001039  0.000427  0.020072  0.020320 0.001850
Nd192	0.023682 0.002508  0.000138  0.003562  0.067764 0.000441
Nd194	0.037294 0.005027  0.000099  0.001535  0.125578 0.000000
Nd196	0.050733 0.018325  0.000072  0.000998  0.178293 0.002995
Nd198	0.023550 0.074466  0.000020  0.001092  0.162910 0.063577
Nd200	0.010030 0.108581  0.001819  0.011986  0.138124 0.112708
Nd202	0.007857 0.121014  0.007621  0.026969  0.138687 0.112380
Nd204	0.006187 0.126663  0.014818  0.040043  0.143738 0.098077
Nd206	0.004015 0.130179  0.021388  0.048774  0.143997 0.089640
Nd208	0.001982 0.134057  0.024654  0.051751  0.137395 0.090055
Nd210	0.000880 0.139181  0.021677  0.049066  0.131978 0.090613
Nd212	0.000585 0.143444  0.014454  0.042312  0.134001 0.083646
Nd214	0.000678 0.142668  0.007899  0.034654  0.144778 0.074038
