nucleus  bet1  bet2  bet3  bet4  cos3g1  cos3g2  cos3g3  cos3g4
Ne18	0.45917932  0.46212804  0.54393787  0.45757940  0.76635819  0.74697116  0.53756557  0.51237298
Ne20	0.37724570  0.37004680  0.43193634  0.38042821  0.75090664  0.85350832  0.38687540  0.65457387
Ne22	0.36952547  0.36899003  0.41158156  0.37001791  0.83429960  0.93663600  0.48281357  0.64957139
Ne24	0.34100110  0.37960608  0.44346788  0.37572093  0.86268294  0.86859894  0.85992704  0.68962206
Ne26	0.31228044  0.35579143  0.38659766  0.35767309  0.82677288  0.96513173  0.66023989  0.93690791
Ne28	0.29673069  0.45830971  0.42207223  0.40665499  0.89510573  1.00438119  0.91476413  0.99763123
Ne30	0.32846774  0.42842221  0.34075373  0.31064491  0.94502525  0.97547593  0.86370937  0.92606741
Ne32	0.43712226  0.40818964  0.47893180  0.43670150  1.03379670  1.15313613  1.05918509  0.94884398
Ne34	0.34325345  0.34168603  0.36502320  0.31369237  0.99786803  1.12213957  0.79132681  0.85592993
Ne36	0.34667549  0.37768502  0.32662747  0.32917863  0.96567345  0.93958152  0.93981400  0.63807942
nucleus  bet1  bet2  bet3  bet4  cos3g1  cos3g2  cos3g3  cos3g4
Ne18	0.45944466  0.46257472  0.54443803  0.45957226  0.76681378  0.74794607  0.53784709  0.53374429
Ne20	0.37740962  0.37066557  0.43246167  0.38441396  0.75082873  0.85426943  0.38810801  0.68776646
Ne22	0.36977692  0.36978492  0.41248679  0.37592631  0.83741402  0.94594213  0.49773930  0.70422708
Ne24	0.34114465  0.38023295  0.44398466  0.38249548  0.86402037  0.87565325  0.86797757  0.75412014
Ne26	0.31239054  0.35626588  0.38691854  0.35967762  0.82714307  0.96839262  0.66400248  0.95855085
Ne28	0.29686676  0.45847474  0.42296491  0.41198872  0.89600662  1.00376176  0.91380232  1.00625160
Ne30	0.32875562  0.42989393  0.34319747  0.31535773  0.94525379  0.98148534  0.88596782  0.87238748
Ne32	0.43735242  0.40851923  0.47904566  0.43805650  1.03531457  1.15668670  1.05960448  0.95584771
Ne34	0.34333332  0.34206161  0.36558097  0.31899150  0.99864764  1.12610577  0.79976217  0.92506168
Ne36	0.34674823  0.37789366  0.32730281  0.33496919  0.96624759  0.94420953  0.94554428  0.70161617
