nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Ne18	9.211130  20.493068  15.635785  21.516616  24.273949  30.207577  39.814606  39.200050
Ne20	4.943508  11.569481  12.410318  14.858774  18.803933  21.371806  30.008357  28.591254
Ne22	3.502467  8.588948  9.891948  9.995717  12.335180  15.949808  23.810244  18.673366
Ne24	4.108003  9.997013  8.086862  8.200073  11.887082  13.462468  18.794168  17.709431
Ne26	4.612307  10.688711  7.760942  9.146210  13.598633  14.092351  18.449650  19.273195
Ne28	4.389005  8.641366  5.618419  7.468435  10.327928  10.112640  14.915218  13.082400
Ne30	-667.035858  -842.360768  2.963431  1.948921  6.694200  4.094375  8.505269  7.123619
Ne32	1.317366  3.528412  3.104899  4.248422  3.543106  7.613213  9.577132  8.660219
Ne34	2.402676  5.759005  9.100184  7.727214  10.971215  13.448799  21.493893  15.329831
Ne36	2.316537  5.581446  9.010800  5.771048  9.720838  12.888209  21.099940  13.767152
nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Ne18	9.211130  20.493068  15.635785  21.516616  24.273949  30.207577  39.814606  39.200050
Ne20	4.943508  11.569481  12.410318  14.858774  18.803933  21.371806  30.008357  28.591254
Ne22	3.502467  8.588948  9.891948  9.995717  12.335180  15.949808  23.810244  18.673366
Ne24	4.108003  9.997013  8.086862  8.200073  11.887082  13.462468  18.794168  17.709431
Ne26	4.612307  10.688711  7.760942  9.146210  13.598633  14.092351  18.449650  19.273195
Ne28	4.389005  8.641366  5.618419  7.468435  10.327928  10.112640  14.915218  13.082400
Ne30	-667.035858  -842.360768  2.963431  1.948921  6.694200  4.094375  8.505269  7.123619
Ne32	1.317366  3.528412  3.104899  4.248422  3.543106  7.613213  9.577132  8.660219
Ne34	2.402676  5.759005  9.100184  7.727214  10.971215  13.448799  21.493893  15.329831
Ne36	2.316537  5.581446  9.010800  5.771048  9.720838  12.888209  21.099940  13.767152
