band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,2316.495000,,,
band1,level,4,1,5581.446000,,,
band1,level,6,1,9921.903000,,,
band1,transition,,,,2_1,0_1,4.668431
band1,transition,,,,4_1,2_1,7.507855
band1,transition,,,,6_1,4_1,9.235973
band2,level,0,2,9010.772000,,,
band2,level,2,3,12887.978000,,,
band2,level,4,4,17639.169000,,,
band2,level,6,4,23481.754000,,,
band2,transition,,,,2_3,0_2,4.175847
band2,transition,,,,4_4,2_3,5.636258
band2,transition,,,,6_4,4_4,7.914548
band3,level,2,2,5770.997000,,,
band3,level,3,1,9225.979000,,,
band3,level,4,2,9887.075000,,,
band3,level,5,1,13865.528000,,,
band3,level,6,2,14750.502000,,,
band3,transition,,,,3_1,2_2,7.372066
band3,transition,,,,4_2,2_2,3.588338
band3,transition,,,,5_1,4_2,3.555290
band3,transition,,,,6_2,4_2,6.314527
band3,transition,,,,4_2,3_1,3.154194
band3,transition,,,,6_2,5_1,2.227151
band3,transition,,,,5_1,3_1,5.249432
interband,transition,,,,2_2,0_1,0.051091
interband,transition,,,,2_2,2_1,3.029526
interband,transition,,,,0_2,2_2,4.247718
interband,transition,,,,0_2,2_1,1.770153
