band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1359.364000,,,
band1,level,4,1,2587.833000,,,
band1,level,6,1,3919.281000,,,
band1,transition,,,,2_1,0_1,14.224486
band1,transition,,,,4_1,2_1,35.595863
band1,transition,,,,6_1,4_1,53.366204
band2,level,0,2,2174.680000,,,
band2,level,2,3,3683.818000,,,
band2,level,4,3,5115.009000,,,
band2,level,6,3,6661.386000,,,
band2,transition,,,,2_3,0_2,14.732894
band2,transition,,,,4_3,2_3,32.254484
band2,transition,,,,6_3,4_3,50.634533
band3,level,2,2,2889.161000,,,
band3,level,3,1,4121.869000,,,
band3,level,4,2,4299.649000,,,
band3,level,5,1,5418.611000,,,
band3,level,6,2,5767.528000,,,
band3,transition,,,,3_1,2_2,26.341221
band3,transition,,,,4_2,2_2,21.172703
band3,transition,,,,5_1,4_2,17.305049
band3,transition,,,,6_2,4_2,38.210756
band3,transition,,,,4_2,3_1,16.837586
band3,transition,,,,6_2,5_1,14.627459
band3,transition,,,,5_1,3_1,32.728558
interband,transition,,,,2_2,0_1,0.053923
interband,transition,,,,2_2,2_1,16.624429
interband,transition,,,,2_2,0_2,6.257287
interband,transition,,,,0_2,2_1,52.516834
