band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,231.079000,,,
band1,level,4,1,629.662000,,,
band1,level,6,2,1167.753000,,,
band1,transition,,,,2_1,0_1,139.781087
band1,transition,,,,4_1,2_1,220.479744
band1,transition,,,,6_2,4_1,227.636294
band2,level,0,2,813.132000,,,
band2,level,2,3,867.533000,,,
band2,level,4,2,968.048000,,,
band2,level,6,1,1112.317000,,,
band2,transition,,,,2_3,0_2,864.007770
band2,transition,,,,4_2,2_3,1502.905708
band2,transition,,,,6_1,4_2,1526.400973
band3,level,2,2,691.100000,,,
band3,level,3,1,1070.655000,,,
band3,level,4,3,1153.536000,,,
band3,level,5,2,1626.438000,,,
band3,transition,,,,3_1,2_2,185.991610
band3,transition,,,,4_3,2_2,118.204207
band3,transition,,,,5_2,4_3,76.654373
band3,transition,,,,4_3,3_1,68.018650
band3,transition,,,,5_2,3_1,156.162951
interband,transition,,,,2_2,0_1,1.416471
interband,transition,,,,2_2,2_1,70.313408
interband,transition,,,,0_2,2_2,54.962794
interband,transition,,,,0_2,2_1,16.016726
