nucleus  q21  q22  q23  q24  q31  q32  q33  q34
No240	22.51928032  24.42920275  23.54164946  35.92775983 93.37003017  98.86466900  97.14749448  193.97912331
No242	18.96259487  25.19180857  23.08938703  30.59207627 76.61886506  103.47087126  91.82874976  147.02301301
No244	18.55335593  24.57228711  22.52212287  27.01530314 75.50276561  103.69729921  91.33984580  123.10692064
No246	18.62403521  23.90949059  21.27299016  27.64826449 77.00113384  103.45200238  86.21319024  125.45543028
No248	18.94381165  22.39708445  21.43748002  28.55610861 80.01732849  99.64059467  85.32806053  131.40377693
No250	19.17495192  22.28952484  20.92535534  28.86615844 81.88054395  100.33854056  81.34330949  137.77814445
No252	19.48007813  22.29757686  20.76984888  29.62164377 84.07139569  102.41275185  81.04779308  140.46118631
No254	19.70136213  21.99167975  21.95186857  30.38415944 85.51701503  103.26222662  87.60805155  151.30402427
No256	19.55665585  21.47056250  22.93765319  28.90725721 84.52680248  101.31272012  93.96042007  149.06503777
No258	18.71872206  21.83123844  21.88871838  30.08564482 78.81578297  102.62541912  86.53944857  157.50513265
No260	17.91416953  22.00224667  20.51197145  32.23753373 73.62598835  103.05373310  78.03597571  173.13938406
No262	17.22998637  21.46071060  19.35995546  39.28429529 69.38244433  99.49835718  71.82337924  236.68099369
No264	16.51876736  21.02244314  18.66328334  54.56777833 64.97986456  96.49041783  68.15450965  379.89916136
No266	16.09599710  20.20732479  22.84964589  59.50452316 62.20364058  91.48671989  105.13343580  433.48669195
No268	15.13783781  19.19825556  59.16179584  31.76024453 56.45994442  86.40824065  428.91205296  196.55695259
No270	11.29587574  22.23291243  56.21370314  26.90847043 35.14885140  110.21046898  410.54060587  161.12416070
No272	7.52190595  47.13336166  20.45608704  29.88547457 15.33398164  328.33993232  114.86430530  184.28681976
No274	5.76566934  6.91950410  59.76649392  9.77808468 7.72329247  5.43364445  445.53819839  26.45386385
No276	4.13210296  5.12233524  61.28422273  6.55487506 2.78047616  -2.02892595  465.55925287  11.42727974
No278	2.88329114  4.16420556  62.52299700  5.55886666 1.34946592  -1.03433593  482.01075059  -5.55570357
No280	2.15689842  3.35045361  63.17139741  4.66893581 0.99719905  -0.49586095  490.74349255  -7.63176119
No282	1.64926767  2.63350868  3.83610887  63.94159999 0.82076867  0.36146386  -2.70759898  499.82984527
No284	1.37968970  2.51107886  3.74920228  64.84339800 0.91699701  0.87509135  -0.49219718  510.35607381
No286	1.29077604  3.27288802  4.69762423  64.85626535 0.80844320  1.85880802  -0.55312938  508.97124900
No288	1.79406353  3.68189211  36.63634958  32.12174818 1.48951231  2.94226284  255.04436328  225.23179178
No290	2.57783362  5.46271285  53.53000786  37.35753271 2.55138732  7.57533614  372.27365707  239.79179146
No292	3.76940425  34.34572178  21.68186058  50.40348335 5.28640964  184.22211469  122.18507868  372.18150838
No294	6.66071256  35.12553146  29.09242495  44.61154572 14.38076013  174.21349990  175.59004111  323.00236046
No296	10.22606844  32.66339107  31.39812224  37.56803903 28.67954091  152.27742318  182.22504952  243.04219326
No298	12.57888701  31.67984940  28.99160584  30.75527757 40.20583667  144.62755092  150.89488338  153.58556734
No300	14.58634649  31.31697255  24.01277550  33.32178774 51.64032657  145.07455786  101.70738366  169.88026332
No302	16.25497072  30.68690627  24.98753069  31.99731479 61.86598116  144.83245966  104.67863681  159.70060424
No304	17.64393590  29.70023679  26.10156701  31.19734980 70.57514207  141.24733867  111.99290047  154.20564527
No306	18.89326402  28.89761457  26.74062800  31.39907101 78.52937176  137.67513306  115.77128569  157.13996533
No308	20.00241107  28.65645072  26.38590084  32.84958185 85.79589244  136.76692632  113.02013385  168.05040142
No310	20.88024978  28.79696305  25.51331692  34.62091884 91.83369260  138.06050910  108.28642752  179.31857932
No312	21.58870759  29.07325901  25.03761845  35.84589462 96.90281149  140.41703441  106.97980934  185.40224330
No314	22.24718787  29.34831144  25.26838522  36.83719311 101.62101675  143.63100973  108.76326811  191.29412941
No316	22.89569408  29.56946701  25.85997103  38.04755076 106.26517851  148.39338920  110.57750024  200.10335201
No318	23.42651192  29.52488266  26.77486978  39.08586814 110.08728499  153.92779325  113.17993380  205.19097712
No320	23.65602383  29.53526174  27.55416604  40.39552149 111.67609620  158.33393848  115.97587096  216.87292381
No322	23.56190105  30.19143413  27.78629968  42.47505215 110.74362637  164.70420096  116.04954765  247.00476183
No324	23.24919744  31.34454330  27.78580209  45.25356362 108.24366802  174.40761972  115.68134884  283.00861824
No326	22.78521904  32.62813132  27.57190691  49.40706104 104.75879677  185.19597106  114.78594485  328.27695686
No328	22.16894602  34.25061045  26.66939598  55.19680065 100.30328363  198.32542461  109.14398649  390.33540463
No330	21.49600344  36.19466048  25.26212196  60.39850824 95.55135007  213.92041841  98.61729917  448.66052931
No332	20.89261390  38.00119652  24.07580619  63.08172357 91.40059783  229.42879682  89.81926957  482.02211078
No334	20.21713830  38.84543108  24.75991485  61.09858753 86.79206053  238.78049962  98.27277987  466.50714854
No336	18.98505440  38.01951219  27.79439106  54.71739723 78.45049466  234.83742268  130.83218782  404.83985157
No338	16.06712435  38.18863920  29.78093817  47.55514914 59.14466789  237.77418911  155.78940695  335.88984703
No340	11.84425052  44.51274591  24.19704099  43.84500131 32.16058920  292.56423650  113.54197709  302.26869622
No342	9.21850972  53.94290598  13.99796134  39.37991093 17.51802823  379.59288897  29.76937320  264.73140474
No344	7.67940319  59.44230394  11.36491025  26.75451761 11.47879264  434.38281264  15.61102742  157.94941454
No346	6.35140019  9.07568377  63.86978780  14.47731325 8.04866633  4.85300913  485.68156410  65.06730665
No348	4.87268055  6.81499669  66.92318727  8.96003357 5.44468227  2.37148111  514.52964856  23.28356655
No350	3.53417631  5.68810590  66.46544131  5.16090278 3.55197506  2.95626666  504.85350286  6.82836979
No352	2.68467209  4.58063330  9.86273536  61.10608366 2.46752783  2.52054514  19.68632721  462.37751434
No354	2.22104080  3.66802524  5.82178381  46.88557272 1.94058395  2.00848605  -1.61912718  324.91805283
No356	1.95983895  3.23332694  5.06601066  56.03670343 1.71563726  1.80125308  0.23274067  375.41638932
No358	1.76059266  3.34513343  5.31902812  55.74104375 1.51413467  2.41970812  2.60212755  352.30248629
No360	1.90808646  4.56217274  8.85333703  55.03862059 1.55533606  4.33450006  9.80982814  341.43089966
nucleus  q21  q22  q23  q24  q31  q32  q33  q34
No240	22.53089832  24.46291182  23.71024745  36.30837909 93.45671772  99.33328743  99.07780515  199.42878960
No242	18.97030057  25.21225741  23.27440364  30.89740813 76.62729158  103.65010577  94.10846366  151.63913896
No244	18.55635505  24.58604324  22.71021054  27.28770800 75.48947346  103.76506565  93.80675782  125.23242271
No246	18.62493515  23.91923127  21.45538687  27.86654688 76.99848592  103.42562081  88.61345805  126.58717208
No248	18.94504080  22.40969166  21.58360663  28.80024317 80.02920917  99.61489585  87.28215896  133.26126480
No250	19.17961138  22.32181263  21.10605948  29.46886038 81.94526669  100.43992874  83.92837817  141.08155381
No252	19.48367463  22.32299289  20.96235133  29.89773938 84.11856395  102.56563566  83.69977709  142.94745333
No254	19.70362555  22.01997909  22.11959431  30.88625678 85.52237754  103.43234217  89.77472012  157.11132267
No256	19.55871874  21.49713342  23.06603078  29.59168952 84.51121476  101.46028983  95.45583553  157.43455164
No258	18.72129026  21.87154905  22.04569488  30.56053693 78.79797768  102.89904056  88.63323845  162.84902066
No260	17.91973387  22.05331582  20.66566966  32.66671849 73.64818890  103.45134432  79.85504596  176.96068002
No262	17.23955470  21.53686604  19.52987584  39.68547838 69.44607434  100.10503102  73.36336780  238.12343039
No264	16.53118651  21.13069412  18.86189515  54.81681244 65.06646044  97.35178442  69.42708246  381.92786930
No266	16.10541553  20.31217354  23.12566941  59.73055740 62.25941327  92.20949713  106.43920866  435.41254487
No268	15.14613539  19.31954082  59.33494575  32.16398067 56.48368508  87.17737165  431.33301915  199.74508468
No270	11.32993479  22.33165330  56.28723481  27.23083789 35.25141824  111.09164089  411.55647641  163.95474304
No272	7.55984447  47.17299361  20.51835567  30.03683301 15.62906979  328.83547425  115.42822262  183.37371461
No274	5.78328421  7.12914787  59.81028056  9.94038111 7.76105549  8.58938173  446.75048036  28.28349627
No276	4.15228194  5.24416743  61.30559947  6.81877239 2.87552762  -0.02729240  466.20656810  15.45921603
No278	2.89742067  4.21483673  62.53604944  6.34249375 1.44350598  -0.35381880  482.37255427  1.33180209
No280	2.17236967  3.39972605  63.18444469  5.42403050 1.06454985  -0.12862962  490.90646979  -1.33399190
No282	1.66430448  2.69963082  4.07505846  63.95631108 0.84271912  0.53786679  -0.37611386  499.91455021
No284	1.40788102  2.59551562  3.91608602  64.86460324 0.97468087  1.21290513  0.41882691  510.58115562
