band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1126.805000,,,
band1,level,4,1,2399.041000,,,
band1,level,6,1,3804.718000,,,
band1,transition,,,,2_1,0_1,23.261359
band1,transition,,,,4_1,2_1,39.699709
band1,transition,,,,6_1,4_1,54.515989
band2,level,0,2,2555.837000,,,
band2,level,2,3,3638.040000,,,
band2,level,4,3,4805.969000,,,
band2,level,6,3,6025.756000,,,
band2,transition,,,,2_3,0_2,32.450130
band2,transition,,,,4_3,2_3,55.083586
band2,transition,,,,6_3,4_3,78.055093
band3,level,2,2,2459.343000,,,
band3,level,3,1,3643.831000,,,
band3,level,4,2,3999.925000,,,
band3,level,5,1,5113.789000,,,
band3,level,6,2,5633.987000,,,
band3,transition,,,,3_1,2_2,49.288696
band3,transition,,,,4_2,2_2,24.914242
band3,transition,,,,5_1,4_2,24.589199
band3,transition,,,,6_2,4_2,41.335912
band3,transition,,,,4_2,3_1,1.270754
band3,transition,,,,6_2,5_1,2.443902
band3,transition,,,,5_1,3_1,37.396781
interband,transition,,,,2_2,0_1,0.846685
interband,transition,,,,2_2,2_1,39.019532
interband,transition,,,,0_2,2_2,1.615191
interband,transition,,,,0_2,2_1,21.236560
