band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,349.104000,,,
band1,level,4,1,790.567000,,,
band1,level,6,1,1322.431000,,,
band1,transition,,,,2_1,0_1,77.920034
band1,transition,,,,4_1,2_1,146.582198
band1,transition,,,,6_1,4_1,196.808846
band2,level,0,2,964.733000,,,
band2,level,2,3,1470.916000,,,
band2,level,4,3,1904.383000,,,
band2,level,6,3,2353.974000,,,
band2,transition,,,,2_3,0_2,87.111604
band2,transition,,,,4_3,2_3,206.979581
band2,transition,,,,6_3,4_3,324.399548
band3,level,2,2,1097.574000,,,
band3,level,3,1,1487.328000,,,
band3,level,4,2,1639.097000,,,
band3,level,5,1,2015.069000,,,
band3,level,6,2,2206.579000,,,
band3,transition,,,,3_1,2_2,151.909789
band3,transition,,,,4_2,2_2,76.612938
band3,transition,,,,5_1,4_2,94.089280
band3,transition,,,,6_2,4_2,161.603487
band3,transition,,,,4_2,3_1,94.336496
band3,transition,,,,6_2,5_1,67.759572
band3,transition,,,,5_1,3_1,130.936635
interband,transition,,,,2_2,0_1,1.184113
interband,transition,,,,2_2,2_1,47.196588
interband,transition,,,,2_2,0_2,6.216658
interband,transition,,,,0_2,2_1,121.639686
