band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,591.504000,,,
band1,level,4,1,1411.900000,,,
band1,level,6,1,2363.194000,,,
band1,transition,,,,2_1,0_1,46.820466
band1,transition,,,,4_1,2_1,83.933588
band1,transition,,,,6_1,4_1,125.779183
band2,level,0,2,1254.600000,,,
band2,level,2,3,1769.215000,,,
band2,level,4,3,2696.883000,,,
band2,level,6,3,3780.120000,,,
band2,transition,,,,2_3,0_2,73.233470
band2,transition,,,,4_3,2_3,83.961497
band2,transition,,,,6_3,4_3,55.157250
band3,level,2,2,1159.295000,,,
band3,level,3,1,1816.738000,,,
band3,level,4,2,2051.114000,,,
band3,level,5,1,2840.918000,,,
band3,level,6,2,3051.985000,,,
band3,transition,,,,3_1,2_2,84.082561
band3,transition,,,,4_2,2_2,50.453067
band3,transition,,,,5_1,4_2,32.525408
band3,transition,,,,6_2,4_2,102.485482
band3,transition,,,,4_2,3_1,18.716798
band3,transition,,,,6_2,5_1,18.623648
band3,transition,,,,5_1,3_1,68.956209
interband,transition,,,,2_2,0_1,0.128400
interband,transition,,,,2_2,2_1,65.007242
interband,transition,,,,0_2,2_2,38.426583
interband,transition,,,,0_2,2_1,59.390901
