band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1650.317000,,,
band1,level,4,1,3318.551000,,,
band1,level,6,1,5027.153000,,,
band1,transition,,,,2_1,0_1,12.393447
band1,transition,,,,4_1,2_1,26.555430
band1,transition,,,,6_1,4_1,42.275098
band2,level,0,2,2394.559000,,,
band2,level,2,3,4004.346000,,,
band2,level,4,3,5664.980000,,,
band2,level,6,3,7332.779000,,,
band2,transition,,,,2_3,0_2,14.536086
band2,transition,,,,4_3,2_3,28.748230
band2,transition,,,,6_3,4_3,45.882237
band3,level,2,2,3366.464000,,,
band3,level,3,1,5236.320000,,,
band3,transition,,,,3_1,2_2,25.044755
interband,transition,,,,2_2,0_1,1.479771
interband,transition,,,,2_2,2_1,21.702927
interband,transition,,,,2_2,0_2,3.736359
interband,transition,,,,0_2,2_1,33.482301
