band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,122.170000,,,
band1,level,4,1,382.888000,,,
band1,level,6,1,764.916000,,,
band1,transition,,,,2_1,0_1,198.791799
band1,transition,,,,4_1,2_1,296.233999
band1,transition,,,,6_1,4_1,343.954335
band2,level,0,2,1048.016000,,,
band2,level,2,3,1319.624000,,,
band2,level,4,4,1740.261000,,,
band2,level,6,4,2195.228000,,,
band2,transition,,,,2_3,0_2,141.197231
band2,transition,,,,4_4,2_3,164.625369
band2,transition,,,,6_4,4_4,239.294321
band3,level,2,2,941.629000,,,
band3,level,3,1,1146.989000,,,
band3,level,4,2,1264.045000,,,
band3,level,5,1,1554.148000,,,
band3,level,6,2,1667.880000,,,
band3,transition,,,,3_1,2_2,264.623944
band3,transition,,,,4_2,2_2,134.344129
band3,transition,,,,5_1,4_2,119.657428
band3,transition,,,,6_2,4_2,263.018117
band3,transition,,,,4_2,3_1,193.847397
band3,transition,,,,6_2,5_1,111.796639
band3,transition,,,,5_1,3_1,192.712432
interband,transition,,,,2_2,0_1,2.892309
interband,transition,,,,2_2,2_1,16.968339
interband,transition,,,,0_2,2_2,134.752674
interband,transition,,,,0_2,2_1,33.125017
