band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,110.945000,,,
band1,level,4,1,338.330000,,,
band1,level,6,1,662.295000,,,
band1,transition,,,,2_1,0_1,261.968506
band1,transition,,,,4_1,2_1,393.391968
band1,transition,,,,6_1,4_1,464.435562
band2,level,0,2,836.441000,,,
band2,level,2,3,1071.756000,,,
band2,level,4,3,1289.874000,,,
band2,level,6,3,1570.576000,,,
band2,transition,,,,2_3,0_2,191.376817
band2,transition,,,,4_3,2_3,406.866760
band2,transition,,,,6_3,4_3,529.408762
band3,level,2,2,696.306000,,,
band3,level,3,1,890.857000,,,
band3,level,4,2,977.131000,,,
band3,level,5,1,1223.157000,,,
band3,level,6,2,1322.296000,,,
band3,transition,,,,3_1,2_2,364.248534
band3,transition,,,,4_2,2_2,188.367046
band3,transition,,,,5_1,4_2,182.569226
band3,transition,,,,6_2,4_2,351.611003
band3,transition,,,,4_2,3_1,246.394905
band3,transition,,,,6_2,5_1,135.475496
band3,transition,,,,5_1,3_1,273.598824
interband,transition,,,,2_2,0_1,4.137580
interband,transition,,,,2_2,2_1,33.076057
interband,transition,,,,0_2,2_2,202.687448
interband,transition,,,,0_2,2_1,39.967218
