band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,663.846000,,,
band1,level,4,1,1449.331000,,,
band1,level,6,1,2361.090000,,,
band1,transition,,,,2_1,0_1,35.549829
band1,transition,,,,4_1,2_1,66.005576
band1,transition,,,,6_1,4_1,88.710598
band2,level,0,2,1873.641000,,,
band2,level,2,3,2736.959000,,,
band2,level,4,3,3538.485000,,,
band2,level,6,4,4353.706000,,,
band2,transition,,,,2_3,0_2,39.724324
band2,transition,,,,4_3,2_3,79.660492
band2,transition,,,,6_4,4_3,122.496096
band3,level,2,2,2265.807000,,,
band3,level,3,1,3092.679000,,,
band3,level,4,2,3241.405000,,,
band3,level,5,1,4015.853000,,,
band3,level,6,2,4221.850000,,,
band3,transition,,,,3_1,2_2,60.953707
band3,transition,,,,4_2,2_2,39.908051
band3,transition,,,,5_1,4_2,33.399883
band3,transition,,,,6_2,4_2,77.295964
band3,transition,,,,4_2,3_1,29.754297
band3,transition,,,,6_2,5_1,21.476086
band3,transition,,,,5_1,3_1,59.892961
interband,transition,,,,2_2,0_1,0.749573
interband,transition,,,,2_2,2_1,22.319548
interband,transition,,,,2_2,0_2,7.723429
interband,transition,,,,0_2,2_1,51.665760
