band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,467.430000,,,
band1,level,4,1,1062.738000,,,
band1,level,6,2,1748.125000,,,
band1,transition,,,,2_1,0_1,71.532546
band1,transition,,,,4_1,2_1,120.898271
band1,transition,,,,6_2,4_1,164.537431
band2,level,0,2,1167.336000,,,
band2,level,2,4,1654.456000,,,
band2,level,4,4,1770.147000,,,
band2,level,6,3,1918.608000,,,
band2,transition,,,,2_4,0_2,10.565849
band2,transition,,,,4_4,2_4,507.777237
band2,transition,,,,6_3,4_4,1121.696442
band3,level,2,2,999.050000,,,
band3,level,3,1,1620.931000,,,
band3,level,4,3,1672.396000,,,
band3,level,5,3,2320.801000,,,
band3,transition,,,,3_1,2_2,123.837511
band3,transition,,,,4_3,2_2,82.755439
band3,transition,,,,5_3,4_3,40.269431
band3,transition,,,,4_3,3_1,0.628075
band3,transition,,,,5_3,3_1,76.883588
interband,transition,,,,2_2,0_1,3.802630
interband,transition,,,,2_2,2_1,126.038042
interband,transition,,,,0_2,2_2,35.573832
interband,transition,,,,0_2,2_1,51.490021
