band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,243.352000,,,
band1,level,4,1,621.825000,,,
band1,level,6,1,1107.526000,,,
band1,transition,,,,2_1,0_1,110.431959
band1,transition,,,,4_1,2_1,171.740409
band1,transition,,,,6_1,4_1,223.812718
band2,level,0,2,931.586000,,,
band2,level,2,3,1398.026000,,,
band2,level,4,4,1834.756000,,,
band2,level,6,4,2216.098000,,,
band2,transition,,,,2_3,0_2,123.487329
band2,transition,,,,4_4,2_3,205.704519
band2,transition,,,,6_4,4_4,420.652450
band3,level,2,2,634.528000,,,
band3,level,3,1,1062.600000,,,
band3,transition,,,,3_1,2_2,150.185415
interband,transition,,,,2_2,0_1,17.782090
interband,transition,,,,2_2,2_1,163.884232
interband,transition,,,,0_2,2_2,333.255952
interband,transition,,,,0_2,2_1,1.949397
