band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1154.883000,,,
band1,level,4,1,2468.027000,,,
band1,level,6,1,3892.081000,,,
band1,transition,,,,2_1,0_1,18.279659
band1,transition,,,,4_1,2_1,34.640714
band1,transition,,,,6_1,4_1,50.551398
band2,level,0,2,2482.456000,,,
band2,level,2,3,3367.834000,,,
band2,level,4,3,4467.762000,,,
band2,level,6,3,5773.128000,,,
band2,transition,,,,2_3,0_2,30.761303
band2,transition,,,,4_3,2_3,48.277390
band2,transition,,,,6_3,4_3,65.092416
band3,level,2,2,2532.424000,,,
band3,level,3,1,3501.219000,,,
band3,level,4,2,3861.227000,,,
band3,level,5,1,4732.808000,,,
band3,level,6,2,5292.936000,,,
band3,transition,,,,3_1,2_2,44.723965
band3,transition,,,,4_2,2_2,22.661943
band3,transition,,,,5_1,4_2,25.842044
band3,transition,,,,6_2,4_2,42.399866
band3,transition,,,,4_2,3_1,14.378094
band3,transition,,,,6_2,5_1,9.961635
band3,transition,,,,5_1,3_1,37.352321
interband,transition,,,,2_2,0_1,0.031980
interband,transition,,,,2_2,2_1,21.765399
interband,transition,,,,2_2,0_2,0.117741
interband,transition,,,,0_2,2_1,27.198065
