band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,861.344000,,,
band1,level,4,1,2015.399000,,,
band1,level,6,1,3375.513000,,,
band1,transition,,,,2_1,0_1,31.253513
band1,transition,,,,4_1,2_1,58.878810
band1,transition,,,,6_1,4_1,90.277125
band2,level,0,2,1463.214000,,,
band2,level,2,3,2399.330000,,,
band2,level,4,4,3777.296000,,,
band2,level,6,4,5428.691000,,,
band2,transition,,,,2_3,0_2,33.921530
band2,transition,,,,4_4,2_3,33.380690
band2,transition,,,,6_4,4_4,47.577315
band3,level,2,2,1580.118000,,,
band3,level,3,1,2384.049000,,,
band3,level,4,2,2910.061000,,,
band3,level,5,1,3663.667000,,,
band3,level,6,2,4520.630000,,,
band3,transition,,,,3_1,2_2,66.285445
band3,transition,,,,4_2,2_2,41.758733
band3,transition,,,,5_1,4_2,35.832319
band3,transition,,,,6_2,4_2,69.894736
band3,transition,,,,4_2,3_1,8.455786
band3,transition,,,,6_2,5_1,8.362288
band3,transition,,,,5_1,3_1,60.404444
interband,transition,,,,2_2,0_1,1.287025
interband,transition,,,,2_2,2_1,59.287833
interband,transition,,,,2_2,0_2,6.136649
interband,transition,,,,0_2,2_1,47.929436
