band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,2222.205000,,,
band1,level,4,1,4914.137000,,,
band1,level,6,1,8255.891000,,,
band1,transition,,,,2_1,0_1,3.987020
band1,transition,,,,4_1,2_1,7.457333
band1,transition,,,,6_1,4_1,9.981650
band2,level,0,2,3953.392000,,,
band2,level,2,3,6967.989000,,,
band2,level,4,3,10323.301000,,,
band2,level,6,3,14276.237000,,,
band2,transition,,,,2_3,0_2,4.180854
band2,transition,,,,4_3,2_3,5.958055
band2,transition,,,,6_3,4_3,6.690910
band3,level,2,2,5172.661000,,,
band3,level,3,1,7560.639000,,,
band3,level,4,2,8182.346000,,,
band3,level,5,1,10695.846000,,,
band3,level,6,2,11647.916000,,,
band3,transition,,,,3_1,2_2,7.580192
band3,transition,,,,4_2,2_2,6.495640
band3,transition,,,,5_1,4_2,3.112867
band3,transition,,,,6_2,4_2,10.744717
band3,transition,,,,4_2,3_1,1.876663
band3,transition,,,,6_2,5_1,1.178977
band3,transition,,,,5_1,3_1,7.214962
interband,transition,,,,2_2,0_1,0.687727
interband,transition,,,,2_2,2_1,5.833356
interband,transition,,,,2_2,0_2,0.000737
interband,transition,,,,0_2,2_1,6.250084
