band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,117.715000,,,
band1,level,4,1,385.918000,,,
band1,level,6,1,795.291000,,,
band1,transition,,,,2_1,0_1,189.889735
band1,transition,,,,4_1,2_1,276.072734
band1,transition,,,,6_1,4_1,312.482082
band2,level,0,2,1328.652000,,,
band2,level,2,3,1468.103000,,,
band2,level,4,3,1751.933000,,,
band2,level,6,3,2173.802000,,,
band2,transition,,,,2_3,0_2,208.289248
band2,transition,,,,4_3,2_3,310.210647
band2,transition,,,,6_3,4_3,351.667301
band3,level,2,2,1109.367000,,,
band3,level,3,1,1244.800000,,,
band3,level,4,2,1407.267000,,,
band3,level,5,1,1620.589000,,,
band3,level,6,2,1845.698000,,,
band3,transition,,,,3_1,2_2,310.339848
band3,transition,,,,4_2,2_2,107.691915
band3,transition,,,,5_1,4_2,165.552135
band3,transition,,,,6_2,4_2,219.937940
band3,transition,,,,4_2,3_1,232.365116
band3,transition,,,,6_2,5_1,121.116450
band3,transition,,,,5_1,3_1,174.760085
interband,transition,,,,2_2,0_1,2.405582
interband,transition,,,,2_2,2_1,7.102514
interband,transition,,,,0_2,2_2,10.372856
interband,transition,,,,0_2,2_1,21.396223
