band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1278.966000,,,
band1,level,4,1,2603.519000,,,
band1,level,6,1,4064.019000,,,
band1,transition,,,,2_1,0_1,10.794799
band1,transition,,,,4_1,2_1,24.451678
band1,transition,,,,6_1,4_1,37.493461
band2,level,0,2,2375.097000,,,
band2,level,2,3,3905.910000,,,
band2,level,4,3,5285.333000,,,
band2,level,6,3,6720.878000,,,
band2,transition,,,,2_3,0_2,15.166271
band2,transition,,,,4_3,2_3,36.048003
band2,transition,,,,6_3,4_3,54.612188
band3,level,2,2,2692.220000,,,
band3,level,3,1,4114.144000,,,
band3,level,4,2,4162.382000,,,
band3,level,5,1,5690.713000,,,
band3,level,6,2,5712.125000,,,
band3,transition,,,,3_1,2_2,22.235476
band3,transition,,,,4_2,2_2,17.025829
band3,transition,,,,5_1,4_2,10.385735
band3,transition,,,,6_2,4_2,32.291414
band3,transition,,,,4_2,3_1,5.488274
band3,transition,,,,6_2,5_1,4.782670
band3,transition,,,,5_1,3_1,23.776515
interband,transition,,,,2_2,0_1,0.026090
interband,transition,,,,2_2,2_1,17.008308
interband,transition,,,,2_2,0_2,1.903707
interband,transition,,,,0_2,2_1,31.691575
