band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,545.708000,,,
band1,level,4,1,1201.642000,,,
band1,level,6,1,1967.235000,,,
band1,transition,,,,2_1,0_1,35.181255
band1,transition,,,,4_1,2_1,77.755609
band1,transition,,,,6_1,4_1,131.331675
band2,level,0,2,766.794000,,,
band2,level,2,2,942.773000,,,
band2,level,4,2,1606.009000,,,
band2,level,6,2,2482.579000,,,
band2,transition,,,,2_2,0_2,26.859045
band2,transition,,,,4_2,2_2,63.484450
band2,transition,,,,6_2,4_2,89.094765
band3,level,2,3,1645.519000,,,
interband,transition,,,,2_3,0_1,0.533604
interband,transition,,,,2_3,2_1,3.524398
interband,transition,,,,2_3,0_2,18.143408
interband,transition,,,,0_2,2_1,90.277493
