band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,560.544000,,,
band1,level,4,1,1226.293000,,,
band1,level,6,1,1986.401000,,,
band1,transition,,,,2_1,0_1,41.990782
band1,transition,,,,4_1,2_1,81.135546
band1,transition,,,,6_1,4_1,122.537287
band2,level,0,2,1134.412000,,,
band2,level,2,3,1923.719000,,,
band2,level,4,4,2778.805000,,,
band2,level,6,4,3684.757000,,,
band2,transition,,,,2_3,0_2,39.482516
band2,transition,,,,4_4,2_3,75.478920
band2,transition,,,,6_4,4_4,113.009329
band3,level,2,2,1084.389000,,,
band3,level,3,1,1924.553000,,,
band3,transition,,,,3_1,2_2,53.688762
interband,transition,,,,2_2,0_1,0.957536
interband,transition,,,,2_2,2_1,74.054631
interband,transition,,,,0_2,2_2,152.058738
interband,transition,,,,0_2,2_1,63.352769
