nucleus  B(21+ -> 01+)  B(22+ -> 02+)  B(23+ -> 03+)  B(24+ -> 04+)
Th208	0.351347  0.144267  0.004653  8.269949
Th210	0.226341  0.040432  0.029435  0.077886
Th212	0.162641  0.001287  0.059576  0.148656
Th214	0.156716  0.011620  0.034746  0.060078
Th216	0.101405  0.076394  0.067145  0.014341
Th218	0.144557  0.011058  0.128432  0.028222
Th220	0.208038  0.061820  0.072022  0.055909
Th222	0.309839  0.103496  0.000138  0.001194
Th224	0.454473  0.017834  0.257819  0.236577
Th226	0.978535  1.067758  8.356606  0.208924
Th228	1.558045  1.985467  0.015317  1.840054
Th230	1.915401  0.059110  0.128562  0.478083
Th232	2.179352  0.063565  0.019645  0.005320
Th234	2.349114  0.054152  0.007474  0.002304
Th236	2.470087  0.037268  0.005538  0.000001
Th238	2.581551  0.019707  0.002896  0.000036
Th240	2.695714  0.004770  0.005824  0.003575
Th242	2.704820  0.000002  0.007953  0.029735
Th244	2.648336  0.001323  0.013317  0.028145
Th246	2.457349  0.006183  0.025421  0.009099
Th248	2.116478  0.017477  0.072284  0.001207
Th250	1.783469  0.103073  0.921656  0.000922
Th252	1.485645  0.208087  0.333856  0.541212
Th254	1.144746  0.361981  0.005695  0.683521
Th256	0.831730  0.286021  0.032677  0.099766
Th258	0.622293  0.216044  0.018036  0.131994
Th260	0.500175  0.154421  0.001995  0.109759
Th262	0.407027  0.077252  0.010191  0.036364
Th264	0.310184  0.017019  0.013258  0.002854
Th266	0.224061  0.009224  0.001083  0.044903
Th268	0.172519  0.004146  0.001410  0.016740
Th270	0.130667  0.000417  0.038091  0.001018
Th272	0.108611  0.014092  0.058340  0.002554
Th274	0.139286  0.012869  0.036451  0.000004
Th276	0.142042  0.003769  0.138689  0.040361
Th278	0.166904  0.024604  0.077085  0.001364
Th280	0.199538  0.055824  0.011426  0.017271
Th282	0.256902  0.091221  0.204529  0.030760
Th284	0.352958  0.084459  0.316424  0.018083
Th286	0.496664  0.062944  0.447441  3.335502
Th288	0.722373  0.081453  0.636922  5.796875
Th290	1.071839  0.099964  0.734679  3.623182
Th292	1.494350  0.029633  0.626783  2.088457
Th294	1.892829  0.003108  0.388123  0.551067
Th296	2.223844  0.000203  0.239591  0.032148
Th298	2.485679  0.001818  0.235836  0.002406
Th300	2.686253  0.029933  0.518776  0.007129
Th302	2.833755  0.146655  1.074708  0.055601
Th304	2.923953  0.279306  1.069657  0.147670
Th306	2.958586  0.410811  0.980043  0.201126
Th308	2.935207  0.564252  0.984921  0.240603
Th310	2.842464  0.726965  1.017849  0.283669
Th312	2.661726  0.860235  1.081195  0.332109
Th314	2.408172  0.952817  1.062116  0.426658
Th316	2.119668  0.979014  0.862903  0.648215
Th318	1.835384  0.902181  0.520847  1.053951
Th320	1.587299  0.750763  0.208692  1.369287
Th322	1.358579  0.525461  0.023855  1.336666
Th324	1.138280  0.238788  0.454387  0.619418
Th326	0.939898  0.109740  0.233511  0.136012
Th328	0.783127  0.069564  0.100378  0.010720
Th330	0.574945  0.126724  0.199356  5.275655
Th332	0.559159  0.023703  0.001382  0.012033
Th334	0.466859  0.013147  0.002188  0.010843
Th336	0.391647  0.009170  0.013294  0.005022
Th338	0.339059  0.007232  0.032138  0.000692
Th340	0.305005  0.006079  0.051263  0.000236
Th342	0.281149  0.005345  0.083549  0.005723
Th344	0.253417  0.003589  0.127075  0.018397
nucleus  B(21+ -> 01+)  B(23+ -> 02+)  B(22+ -> 21+)
