nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Th208	0.657671  1.538086  1.560246  1.442166  1.970716  2.258339  2.214755  2.260668
Th210	1.027177  2.271830  2.059298  2.086674  2.788386  2.894780  3.427397  3.546390
Th212	1.333676  2.920775  2.519071  2.700015  3.853092  3.685516  4.308112  4.507154
Th214	1.514469  3.184589  2.936735  3.023316  4.969206  4.373824  5.756619  5.437253
Th216	2.852787  5.255810  3.273308  4.910195  5.524056  5.411169  7.188881  6.730479
Th218	1.474329  2.830607  2.397180  3.091028  4.458928  3.660501  5.076300  5.047622
Th220	1.054572  2.078609  2.016183  2.408008  3.752956  3.156684  3.955609  4.260054
Th222	0.719965  1.497161  1.656002  2.128366  2.771997  2.541172  3.069150  2.818654
Th224	0.464906  0.998419  1.149302  1.605919  1.560544  1.625509  2.052418  1.888397
Th226	0.175206  0.466384  0.769860  1.047441  1.199923  1.254136  1.336216  1.371863
Th228	0.097005  0.305759  0.859714  0.981106  1.368730  1.041063  1.583256  1.495049
Th230	0.077899  0.253891  1.001757  0.951820  1.580790  1.090752  1.760460  1.697836
Th232	0.074502  0.245103  1.134315  1.012433  1.573637  1.216671  1.892951  1.679936
Th234	0.077869  0.257296  1.230765  1.132388  1.609326  1.313048  2.027060  1.711549
Th236	0.081409  0.269234  1.223746  1.150666  1.656437  1.304860  2.064399  1.759053
Th238	0.080383  0.265425  1.248889  1.115337  1.718538  1.329189  2.114007  1.821773
Th240	0.078207  0.257470  1.312419  1.035753  1.720283  1.395932  2.189375  1.824057
Th242	0.086773  0.284451  1.189003  1.010224  1.698718  1.278738  2.152870  1.807042
Th244	0.095447  0.311093  1.089989  0.952590  1.592457  1.185954  2.026868  1.711698
Th246	0.104621  0.337745  0.995805  0.897964  1.462273  1.097224  1.856972  1.604089
Th248	0.119007  0.377055  0.970873  0.853133  1.322853  1.079116  1.720986  1.510919
Th250	0.143148  0.437342  1.037392  0.803685  1.193438  1.199135  1.658451  1.415936
Th252	0.182261  0.528317  1.055521  0.772176  1.261335  1.355384  1.643910  1.434660
Th254	0.261377  0.683794  0.949868  0.710830  1.265142  1.392365  1.819301  1.599081
Th256	0.350103  0.874818  1.099622  0.836400  1.449291  1.600194  2.221267  1.913731
Th258	0.426226  1.050697  1.336434  1.043683  1.760444  1.894961  2.684475  2.356012
Th260	0.491479  1.187114  1.589492  1.232432  1.947858  2.214304  3.005217  2.698684
Th262	0.577749  1.343076  1.795842  1.416188  2.087271  2.504733  3.392761  2.944383
Th264	0.742666  1.640606  1.966963  1.702719  2.494752  2.828663  3.818366  3.397329
Th266	0.984065  2.127139  2.268379  2.164211  3.222748  3.301444  4.315442  4.271044
Th268	1.219000  2.610767  2.524048  2.581226  3.998482  3.799635  4.848884  4.987702
Th270	1.485704  3.101638  2.537545  3.123401  4.782062  4.108271  5.270810  5.689862
Th272	2.039283  3.924220  2.975104  4.176969  5.719124  5.082156  7.666606  6.766352
Th274	2.706696  5.363484  4.287390  5.067135  6.956297  6.083965  7.288241  7.647093
Th276	2.323851  4.438803  3.515314  4.570379  6.386509  5.320255  6.656376  7.117978
Th278	1.729788  3.323963  3.096611  3.646789  5.652694  4.623418  5.907262  6.201066
Th280	1.366659  2.633187  2.642081  3.092384  4.870892  3.969085  5.025711  5.372436
Th282	1.046677  2.036087  2.133021  2.664159  4.150587  3.319256  4.302571  4.535523
Th284	0.768982  1.546691  1.746503  2.260717  3.439232  2.743416  3.754734  3.773760
Th286	0.555183  1.176538  1.470056  1.865768  2.778464  2.253565  3.067602  3.070821
Th288	0.384918  0.875047  1.240335  1.531323  2.189913  1.805585  2.425317  2.421700
Th290	0.255553  0.637111  1.085092  1.287587  1.792694  1.472338  2.024825  2.004908
Th292	0.178713  0.487731  1.036395  1.113282  1.584798  1.299704  1.804260  1.791930
Th294	0.139836  0.406237  1.050328  1.000756  1.478754  1.246071  1.721349  1.694950
Th296	0.120475  0.363388  1.089299  0.934993  1.401245  1.247627  1.725587  1.618508
Th298	0.111422  0.342581  1.119712  0.892774  1.333038  1.261828  1.755166  1.545164
Th300	0.107665  0.333601  1.126570  0.860922  1.269379  1.271705  1.775316  1.472430
Th302	0.107017  0.331770  1.082312  0.831282  1.230065  1.258550  1.776520  1.407233
Th304	0.109281  0.336641  0.996093  0.790862  1.199238  1.210391  1.751344  1.351145
Th306	0.114375  0.347312  0.899178  0.738887  1.161509  1.147717  1.714235  1.298552
Th308	0.122859  0.363929  0.799258  0.676190  1.117152  1.085832  1.667711  1.244582
Th310	0.136693  0.389161  0.702735  0.602584  1.077193  1.033767  1.617359  1.200782
Th312	0.159295  0.428945  0.634179  0.530420  1.057593  1.009600  1.574131  1.185594
Th314	0.189257  0.483393  0.620300  0.486265  1.076414  1.032391  1.556642  1.213719
Th316	0.217250  0.539216  0.667798  0.489160  1.136840  1.107435  1.574037  1.289723
Th318	0.239471  0.588340  0.758044  0.532017  1.210938  1.222209  1.626285  1.395778
Th320	0.263589  0.641606  0.878593  0.601786  1.265541  1.370489  1.724677  1.508978
Th322	0.298959  0.715058  1.020131  0.696791  1.307526  1.549385  1.884488  1.618576
Th324	0.352114  0.821120  1.145652  0.819627  1.427278  1.673499  2.107881  1.846777
Th326	0.424165  0.962961  1.257291  0.968743  1.670455  1.819590  2.375671  2.164142
Th328	0.508511  1.127646  1.396768  1.134364  1.970156  2.032054  2.627304  2.500691
Th330	0.767859  1.628392  1.972779  1.792509  2.938770  2.797099  3.024197  3.146620
Th332	0.725174  1.537337  1.724120  1.543554  2.677767  2.547699  3.277313  3.268017
Th334	0.873585  1.818659  1.931308  1.832064  3.158222  2.845348  3.686533  3.690351
Th336	1.039813  2.149536  2.211248  2.178265  3.736701  3.214111  4.146941  4.160510
Th338	1.202161  2.484422  2.538352  2.537481  4.353965  3.651358  4.649299  4.698567
Th340	1.362638  2.807642  2.856353  2.888322  4.967447  4.108950  5.170014  5.280443
Th342	1.555298  3.169254  3.131689  3.268411  5.523570  4.541078  5.667732  5.849664
Th344	1.859860  3.692451  3.364193  3.777625  5.933919  4.939886  6.049396  6.367671
nucleus  E(21+)  E(41+)  E(02+)  E(22+)  E(03+)  E(23+)   E(04+)   E(24+)
Th208	0.657671  1.538086  1.560246  1.442166  1.970716  2.258339  2.214755  2.260668
Th210	1.027177  2.271830  2.059298  2.086674  2.788386  2.894780  3.427397  3.546390
Th212	1.333676  2.920775  2.519071  2.700015  3.853092  3.685516  4.308112  4.507154
Th214	1.514469  3.184589  2.936735  3.023316  4.969206  4.373824  5.756619  5.437253
Th216	2.852787  5.255810  3.273308  4.910195  5.524056  5.411169  7.188881  6.730479
Th218	1.474329  2.830607  2.397180  3.091028  4.458928  3.660501  5.076300  5.047622
Th220	1.054572  2.078609  2.016183  2.408008  3.752956  3.156684  3.955609  4.260054
Th222	0.719965  1.497161  1.656002  2.128366  2.771997  2.541172  3.069150  2.818654
Th224	0.464906  0.998419  1.149302  1.605919  1.560544  1.625509  2.052418  1.888397
Th226	0.175206  0.466384  0.769860  1.047441  1.199923  1.254136  1.336216  1.371863
Th228	0.097005  0.305759  0.859714  0.981106  1.368730  1.041063  1.583256  1.495049
Th230	0.077899  0.253891  1.001757  0.951820  1.580790  1.090752  1.760460  1.697836
Th232	0.074502  0.245103  1.134315  1.012433  1.573637  1.216671  1.892951  1.679936
Th234	0.077869  0.257296  1.230765  1.132388  1.609326  1.313048  2.027060  1.711549
Th236	0.081409  0.269234  1.223746  1.150666  1.656437  1.304860  2.064399  1.759053
Th238	0.080383  0.265425  1.248889  1.115337  1.718538  1.329189  2.114007  1.821773
Th240	0.078207  0.257470  1.312419  1.035753  1.720283  1.395932  2.189375  1.824057
Th242	0.086773  0.284451  1.189003  1.010224  1.698718  1.278738  2.152870  1.807042
Th244	0.095447  0.311093  1.089989  0.952590  1.592457  1.185954  2.026868  1.711698
Th246	0.104621  0.337745  0.995805  0.897964  1.462273  1.097224  1.856972  1.604089
Th248	0.119007  0.377055  0.970873  0.853133  1.322853  1.079116  1.720986  1.510919
Th250	0.143148  0.437342  1.037392  0.803685  1.193438  1.199135  1.658451  1.415936
Th252	0.182261  0.528317  1.055521  0.772176  1.261335  1.355384  1.643910  1.434660
Th254	0.261377  0.683794  0.949868  0.710830  1.265142  1.392365  1.819301  1.599081
Th256	0.350103  0.874818  1.099622  0.836400  1.449291  1.600194  2.221267  1.913731
Th258	0.426226  1.050697  1.336434  1.043683  1.760444  1.894961  2.684475  2.356012
Th260	0.491479  1.187114  1.589492  1.232432  1.947858  2.214304  3.005217  2.698684
Th262	0.577749  1.343076  1.795842  1.416188  2.087271  2.504733  3.392761  2.944383
Th264	0.742666  1.640606  1.966963  1.702719  2.494752  2.828663  3.818366  3.397329
Th266	0.984065  2.127139  2.268379  2.164211  3.222748  3.301444  4.315442  4.271044
Th268	1.219000  2.610767  2.524048  2.581226  3.998482  3.799635  4.848884  4.987702
Th270	1.485704  3.101638  2.537545  3.123401  4.782062  4.108271  5.270810  5.689862
Th272	2.039283  3.924220  2.975104  4.176969  5.719124  5.082156  7.666606  6.766352
Th274	2.706696  5.363484  4.287390  5.067135  6.956297  6.083965  7.288241  7.647093
Th276	2.323851  4.438803  3.515314  4.570379  6.386509  5.320255  6.656376  7.117978
Th278	1.729788  3.323963  3.096611  3.646789  5.652694  4.623418  5.907262  6.201066
Th280	1.366659  2.633187  2.642081  3.092384  4.870892  3.969085  5.025711  5.372436
Th282	1.046677  2.036087  2.133021  2.664159  4.150587  3.319256  4.302571  4.535523
Th284	0.768982  1.546691  1.746503  2.260717  3.439232  2.743416  3.754734  3.773760
