nucleus  q21  q22  q23  q24  q31  q32  q33  q34
Th208	1.78336613  3.34104821  2.57313962  41.99920875 1.41849955  0.30634995  2.49793504  269.57271623
Th210	1.13788583  2.39788391  2.60208534  3.60050344 0.66588114  0.67146530  0.55560755  -1.61749967
Th212	0.83552996  1.53424206  2.24707955  2.80933984 0.41189486  0.75309298  -0.19073140  -0.16813731
Th214	0.85763287  1.56969287  2.24615541  3.86684191 0.57880522  0.87811089  0.01271734  -0.91652289
Th216	0.59508786  1.17633566  1.89057007  2.26337851 0.25996010  0.51480892  0.61279899  1.43492311
Th218	0.75189628  1.43421852  2.28527036  2.09758166 0.36773345  1.06764619  1.82602314  1.48028816
Th220	1.04504872  2.04143181  2.84327082  2.88470247 0.63310112  2.51755919  1.69999305  4.14368924
Th222	1.58980402  2.78235373  46.96459087  5.35960348 1.38288084  4.27541653  322.12513171  7.42919308
Th224	2.35291868  4.15087876  47.79601213  9.96911251 2.85647456  8.57740694  330.94917046  28.29904746
Th226	5.09511758  6.33393449  43.17864124  17.04514783 10.72921757  16.88166836  290.29931161  82.51069605
Th228	8.17068082  10.87042625  18.18364654  30.95734457 21.55216988  33.70203914  86.79188885  192.11043608
Th230	10.01858208  13.35131181  13.74152649  26.44019857 29.41670199  44.22820816  52.09450313  136.15570822
Th232	11.34375666  15.00973116  11.39615533  27.01685986 35.93759169  52.11164935  32.28984344  138.91093199
Th234	12.19848581  16.05109249  12.54882383  25.67130954 40.36385212  59.45622650  35.67253751  129.77282817
Th236	12.82438996  16.78747234  13.43576124  25.15956855 43.60650181  65.54052569  38.42175247  126.67531789
Th238	13.40623998  17.13045078  14.03096808  25.20361552 46.66099032  68.89651163  40.33216507  127.17343389
Th240	14.01762130  17.27611115  14.90952454  25.66505889 49.94072509  71.50381871  44.35526364  130.64210443
Th242	14.08933564  17.17728547  15.64256665  24.16596523 50.18047381  72.03948536  48.23049008  119.88190250
Th244	13.81599539  17.41306656  15.12373563  23.02914340 48.54337951  73.74045548  45.59965829  112.89738820
Th246	12.86174669  17.69755521  13.56187749  22.06408830 43.21524813  75.50939575  37.00986231  108.16488617
Th248	11.12085628  17.94884628  11.33207334  20.62469591 33.92672316  76.81222953  25.32343679  100.85940633
Th250	9.38214873  13.88518249  13.08476777  19.84625478 25.21020310  50.63677671  39.76871967  98.13979628
Th252	7.80548367  8.82254609  12.99005801  23.78016109 18.17079359  18.53580107  44.54118206  127.26961868
Th254	5.92855286  7.07258926  7.54682724  32.48269153 10.46427171  7.41915388  18.57750874  189.94640892
Th256	4.28376337  5.87626781  5.99028656  40.42434508 5.85613536  2.35765758  13.53145549  258.64103675
Th258	3.20896137  4.99845997  4.27748136  6.80817353 3.77620096  1.16343429  7.97753111  2.90847146
Th260	2.57658886  4.11776376  3.28237006  5.86100192 2.75484030  0.83361187  5.30822684  -0.35809433
Th262	2.08382179  3.24210026  2.98455726  5.10133910 2.04147306  1.14756203  4.03168875  -0.72739493
Th264	1.57136525  2.52992298  2.83915897  4.09535441 1.33331578  1.77084350  2.71064537  0.64626168
Th266	1.12932079  2.00120212  2.26878503  3.26243371 0.79175744  1.36742899  1.73999810  1.30209876
Th268	0.87906353  1.50172641  1.79303291  2.44884467 0.53668802  0.88792720  1.18588736  1.30101496
Th270	0.72117548  1.16269110  1.61467193  1.76753081 0.40371063  0.62253326  0.47852709  1.76390083
Th272	0.67427892  1.19585701  1.69265386  2.15096276 0.43492907  0.71302004  0.46839280  2.12789263
Th274	0.76210033  1.41471860  1.97833518  2.06956398 0.43988720  0.68420988  0.48416822  1.89901051
Th276	0.73231358  1.42562274  2.30510777  2.01142790 0.27849601  0.80979761  1.17100217  1.71775872
Th278	0.83814934  1.68602241  2.58460737  2.69134478 0.29574998  1.37429500  3.44143306  0.85551630
Th280	1.00852537  2.16949726  2.64804554  3.83478912 0.46713641  2.54033474  2.28745243  4.24642013
Th282	1.31639874  2.75219889  4.63413533  3.46710818 0.87818970  3.95922830  4.86630404  5.09276025
Th284	1.82331430  3.38074466  6.59836982  4.44945140 1.65858100  5.59777535  10.54682336  6.74354324
Th286	2.57515427  4.28148897  9.86626236  53.71019869 3.07902549  8.48350335  23.05924305  404.64386254
Th288	3.76254337  5.87439218  14.35275974  52.03759330 5.98327834  14.51946692  48.15273471  390.32799365
Th290	5.62477260  8.12064975  17.27755800  45.59758912 11.70221268  24.17596971  66.58862823  329.17875956
Th292	7.89223442  10.84770585  17.24383618  39.94460034 19.96465743  37.11512561  64.40594334  270.51825184
Th294	10.01962603  13.60776791  15.06640844  38.60582264 28.81448899  51.63689725  43.19615758  252.67518171
Th296	11.76374818  16.05609555  14.01201655  37.00921935 36.79250963  65.69253237  30.29815785  235.92250978
Th298	13.12470620  17.64391686  14.32180423  35.25942267 43.42098545  75.96303560  28.05565230  219.11279945
Th300	14.15779169  17.86695080  15.84118695  34.10492513 48.66735883  77.23844174  35.81650789  207.55319517
Th302	14.90994302  16.33969309  18.80702109  32.64233357 52.58027220  60.26351206  61.21659176  187.58755401
Th304	15.36278083  15.40430713  20.87006114  31.79265669 54.78244211  47.03567325  81.59638345  179.29427375
Th306	15.52131470  14.95965618  22.12646816  31.35901687 55.12044275  40.40643128  93.93672487  177.33872671
Th308	15.36287074  14.62946432  23.08754091  30.52308931 53.41274766  36.38286461  103.42986013  172.74884118
Th310	14.80958034  14.44454960  23.67744641  29.04222251 49.07452597  34.81587879  109.72011399  161.51221692
Th312	13.74953386  14.47213271  23.89173659  27.56434658 41.28399587  36.04362521  112.75922105  150.04796175
Th314	12.33800011  14.35849348  23.79373016  26.90781950 31.33102915  37.06592141  112.85459702  146.69105097
